TMPO-AS1	TMPO	Knockdown of TMPO-AS1 decreased the mRNA and protein levels of TMPO in NSCLC cells
H19	Igf2	Igf2 and H19 are physically linked imprinted genes
H19	VDUP1	Further investigation in a higher number of adenocarcinomas showed that in the high-fat n-6 diet group, where the tumor phenotype was verified to be more aggressive, the expression of submaxillary gland alpha-2u globulin, vitamin D(3)-upregulated protein 1 (VDUP1), H19, and the unknown function gene that codifies the expressed sequence tag (EST)-Rn32385 was significantly decreased in comparison with the control group (C)
H19	VDUP1	These results, together with the fact that VDUP1, H19, and this globulin have been associated with cell proliferation and differentiation, open a new line of research about how the underexpression of these genes contributes to the stimulating effect of a high corn oil diet on experimental mammary carcinogenesis
H19	OCT4	We examined the effect of occludin antibody on blastocoel formation, blastocyst permeability, and expression of H19 and OCT4, markers of TE differentiation and blastomere pluripotency, respectively
H19	OCT4	At the same time OCT4 expression increased while expression of H19 became barely detectable
H19	Igf2r	To determine whether maternal primary imprinting had been established in the oocytes derived from ng/fg PE, we examined the DNA methylation status in differentially methylated regions of three imprinted genes, Igf2r, Lit1, and H19
Lit1	Igf2r	To determine whether maternal primary imprinting had been established in the oocytes derived from ng/fg PE, we examined the DNA methylation status in differentially methylated regions of three imprinted genes, Igf2r, Lit1, and H19
H19	Ascl2	Placental tissues displayed activation of the normally silent allele for H19, Ascl2, Snrpn, Peg3 and Xist while in the embryo proper imprinted expression for the most part was preserved
H19	Snrpn	Placental tissues displayed activation of the normally silent allele for H19, Ascl2, Snrpn, Peg3 and Xist while in the embryo proper imprinted expression for the most part was preserved
H19	Xist	Placental tissues displayed activation of the normally silent allele for H19, Ascl2, Snrpn, Peg3 and Xist while in the embryo proper imprinted expression for the most part was preserved
H19	Snrpn	methylation is erased on Rasgrf1, H19, and Snrpn at e125, but that Gtl2 retains substantial methylation at this stage
H19	NDN	Four genes, NDN (Necdin), H19, SNRPN and IGF2, known to be imprinted in mice and humans, were selected for study in rhesus monkeys along with two imprinting centres (ICs) associated with the regulation of H19/IGF2, NDN and SNRPN GAPD was employed as a non-imprinted control gene
H19	SNRPN	Four genes, NDN (Necdin), H19, SNRPN and IGF2, known to be imprinted in mice and humans, were selected for study in rhesus monkeys along with two imprinting centres (ICs) associated with the regulation of H19/IGF2, NDN and SNRPN GAPD was employed as a non-imprinted control gene
H19	IGF2	Four genes, NDN (Necdin), H19, SNRPN and IGF2, known to be imprinted in mice and humans, were selected for study in rhesus monkeys along with two imprinting centres (ICs) associated with the regulation of H19/IGF2, NDN and SNRPN GAPD was employed as a non-imprinted control gene
JADE	Jade1	JADE transcriptionally activates Jade1, a key component in the HBO1 (human acetylase binding to ORC1) histone acetylation complex
JADE	HBO1	JADE transcriptionally activates Jade1, a key component in the HBO1 (human acetylase binding to ORC1) histone acetylation complex
SOX2OT	SOX2	Here, we have evaluated a possible correlation between expression patterns of SOX2OT and those of master regulators of pluripotency, SOX2 and OCT4, in esophageal squamous cell carcinoma (ESCC) tissue samples
SOX2OT	OCT4	Here, we have evaluated a possible correlation between expression patterns of SOX2OT and those of master regulators of pluripotency, SOX2 and OCT4, in esophageal squamous cell carcinoma (ESCC) tissue samples
SOX2OT	OCT4	Our data revealed a significant co upregulation of SOX2OT along with SOX2 and OCT4 in tumor samples, compared to the non-tumor tissues obtained from the margin of same tumors
SOX2OT	SOX2	Our data revealed a significant co upregulation of SOX2OT along with SOX2 and OCT4 in tumor samples, compared to the non-tumor tissues obtained from the margin of same tumors
HOTTIP	HOXA13	Here, by correlating clinicopathological and expression data, we demonstrate that the levels of HOTTIP and HOXA13 are associated with HCC patients' clinical progression and predict disease outcome
Malat1	YAP	Taken together, these data provided a novel mechanism underlying the balance between SRSF1, YAP and Malat1 and uncovered a new role of YAP in regulating long non-coding RNA (lncRNA)
Malat1	SRSF1	Taken together, these data provided a novel mechanism underlying the balance between SRSF1, YAP and Malat1 and uncovered a new role of YAP in regulating long non-coding RNA (lncRNA)
H19	Peg3	The degree of methylation and mRNA expression of H19, Peg3, Ndn and Snrpn were assessed in paternal sperm and in the cerebral cortices of each offspring
H19	Ndn	The degree of methylation and mRNA expression of H19, Peg3, Ndn and Snrpn were assessed in paternal sperm and in the cerebral cortices of each offspring
H19	Snrpn	The degree of methylation and mRNA expression of H19, Peg3, Ndn and Snrpn were assessed in paternal sperm and in the cerebral cortices of each offspring
H19	Peg3	It did affect methylation in paternal sperm (H19 and Peg3) and in the offspring's cerebral cortices (CpG7 and CpG11 in Peg3 and Snrpn), but the level of mRNA expression has not changed
H19	Snrpn	It did affect methylation in paternal sperm (H19 and Peg3) and in the offspring's cerebral cortices (CpG7 and CpG11 in Peg3 and Snrpn), but the level of mRNA expression has not changed
H19	CpG7	It did affect methylation in paternal sperm (H19 and Peg3) and in the offspring's cerebral cortices (CpG7 and CpG11 in Peg3 and Snrpn), but the level of mRNA expression has not changed
H19	CpG11	It did affect methylation in paternal sperm (H19 and Peg3) and in the offspring's cerebral cortices (CpG7 and CpG11 in Peg3 and Snrpn), but the level of mRNA expression has not changed
NEAT1	SFPQ	Together, our data show that NEAT1 plays an important role in the innate immune response through the transcriptional regulation of antiviral genes by the stimulus-responsive cooperative action of NEAT1 and SFPQ
CDKN2BAS	CDKN2A	Therefore, we aimed to study the expression of the INK4/ARF locus genes CDKN2A and CDKN2BAS in order to examine the p16(INK4a) protein expression and the level of cell proliferation in carotid plaques and saphenous tissue samples A total of 50 patients(33 symptomatic subjects and 17 asymptomatic subjects) with carotid atherosclerosis CA) were studied
linc-POU3F3	EZH2	In RNA immunoprecipitation assays, linc-POU3F3 was associated with the EZH2 messenger RNA (mRNA)
H19	Snrpn	The normal monoallelic expression of the imprinted genes H19, Snrpn and Kcnq1ot1 was unaffected in either the placentae or the embryos from the superovulated females at E145 or E185
Kcnq1ot1	Snrpn	The normal monoallelic expression of the imprinted genes H19, Snrpn and Kcnq1ot1 was unaffected in either the placentae or the embryos from the superovulated females at E145 or E185
TUG1	HOXB7	Interestingly, inhibition of TUG1 could upregulate homeobox B7 (HOXB7) expression; ChIP assays demonstrated that the promoter of HOXB7 locus was bound by EZH2 (enhancer of zeste homolog 2), a key component of PRC2, and was H3K27 trimethylated
TUG1	EZH2	Interestingly, inhibition of TUG1 could upregulate homeobox B7 (HOXB7) expression; ChIP assays demonstrated that the promoter of HOXB7 locus was bound by EZH2 (enhancer of zeste homolog 2), a key component of PRC2, and was H3K27 trimethylated
TUG1	ChIP	Interestingly, inhibition of TUG1 could upregulate homeobox B7 (HOXB7) expression; ChIP assays demonstrated that the promoter of HOXB7 locus was bound by EZH2 (enhancer of zeste homolog 2), a key component of PRC2, and was H3K27 trimethylated
TUG1	HOXB7	Together, these results suggest that p53 -regulated TUG1 is a growth regulator, which acts in part through control of HOXB7
lincRNA-p21	p53	These findings indicate that lincRNA-p21 affects global gene expression and influences the p53 tumor suppressor pathway by acting in cis as a locus-restricted coactivator for p53-mediated p21 expression
MEG3	p53	Finally, MEG3 activated p53 in OVCAR3 cells
UCA1	hnRNPA1	In proliferating cells, we found that hnRNPA1 binds and destabilizes CDKN2A mRNA whereas during senescence, UCA1 sequesters hnRNPA1 and thus stabilizes CDKN2A
FOXCUT	FOXC1	When the expression of FOXCUT was down-regulated by small interfering RNA (siRNA), the expression of FOXC1 was also decreased
LEF1NAT	PTEN	The interaction between LEF1NAT, miR-544a, and PTEN was probed using bioinformatical analysis and dual-luciferase assay
SNHG15	MYC	Gene expression analysis performed upon SNHG15 inhibition showed changes in multiple relevant genes implicated in cancer progression, including MYC, NRAS, BAG3 or ERBB3
SNHG15	NRAS	Gene expression analysis performed upon SNHG15 inhibition showed changes in multiple relevant genes implicated in cancer progression, including MYC, NRAS, BAG3 or ERBB3
SNHG15	BAG3	Gene expression analysis performed upon SNHG15 inhibition showed changes in multiple relevant genes implicated in cancer progression, including MYC, NRAS, BAG3 or ERBB3
SNHG15	ERBB3	Gene expression analysis performed upon SNHG15 inhibition showed changes in multiple relevant genes implicated in cancer progression, including MYC, NRAS, BAG3 or ERBB3
SMIM31	AGR2	The expression patterns of SMIM31, miR-143 and AGR2 in both pancreatic cancer and adjacent tissues were then determined
MALAT1	RPL19	The highest expressed lncRNAs were MALAT1, U85, RP11-206M117 and NEAT1, and the highest expressing mRNAs were RPL19, SCGB2A2, FTL and TMSB4X
MALAT1	SCGB2A2	The highest expressed lncRNAs were MALAT1, U85, RP11-206M117 and NEAT1, and the highest expressing mRNAs were RPL19, SCGB2A2, FTL and TMSB4X
MALAT1	FTL	The highest expressed lncRNAs were MALAT1, U85, RP11-206M117 and NEAT1, and the highest expressing mRNAs were RPL19, SCGB2A2, FTL and TMSB4X
U85	RPL19	The highest expressed lncRNAs were MALAT1, U85, RP11-206M117 and NEAT1, and the highest expressing mRNAs were RPL19, SCGB2A2, FTL and TMSB4X
U85	SCGB2A2	The highest expressed lncRNAs were MALAT1, U85, RP11-206M117 and NEAT1, and the highest expressing mRNAs were RPL19, SCGB2A2, FTL and TMSB4X
U85	FTL	The highest expressed lncRNAs were MALAT1, U85, RP11-206M117 and NEAT1, and the highest expressing mRNAs were RPL19, SCGB2A2, FTL and TMSB4X
CTXND1	MST1	Moreover, mechanistic investigations revealed that CTXND1 overexpression inhibited nuclear translocation of YAP, by inducing MST1 expression and promoting phosphorylation of LATS1 and YAP, consequently downregulating the expression of cell cycle regulatory proteins (MCM7 and cyclin D1)
HOTAIR	STAT3	Further, analysis of the promoter of HOTAIR, revealed that STAT3 could potentially regulate the activity of the HOTAIR in cervical cancer cells and inhibition of STAT3 had similar effects on the proliferation, migration and invasion of the cervical cancer cells as that of HOTAIR
HOTAIR	STAT3	Further, the suppression of STAT3 expression was associated with concomitant downregulation of IncRNA HOTAIR as indicated by the qRT-PCR
HULC	CDKN1	Deletion of heightened HULC erased the cells growth accelerated following low dose irradiation exposure CDKN1, the neighbor gene of HULC, was down-regulated by overexpression of HULC following low dose irradiation exposure via complementary base pairing, resulting in promoting cell cycle process
