TMPO-AS1	TMPO	decrease Knockdown TMPO-AS1 of level the mRNA and protein TMPO of cell in NSCLC 	
H19	OCT4	examine We effect the antibody of occludin permeability on blastocoel formation blastocyst and expression H19 of and marker OCT4 differentiation of TE and pluripotency blastomere respectively 	
H19	OCT4	time At the same increase OCT4 expression become while expression H19 of detectable barely 	
H19	Igf2r	examine determine To establish whether imprinting primary maternal have be oocyte in the derive PE from ng fg we status the DNA methylation region in methylated differentially Lit1 of three imprinted gene Igf2r and H19 	
Lit1	Igf2r	examine determine To establish whether imprinting primary maternal have be oocyte in the derive PE from ng fg we status the DNA methylation region in methylated differentially Lit1 of three imprinted gene Igf2r and H19 	
H19	Ascl2	preserve activation Placental tissue display allele of the silent normally Peg3 for H19 Ascl2 Snrpn and Xist while expression in the embryo proper imprint part for the most be 	
H19	Snrpn	preserve activation Placental tissue display allele of the silent normally Peg3 for H19 Ascl2 Snrpn and Xist while expression in the embryo proper imprint part for the most be 	
H19	Xist	preserve activation Placental tissue display allele of the silent normally Peg3 for H19 Ascl2 Snrpn and Xist while expression in the embryo proper imprint part for the most be 	
H19	Snrpn	erase methylation be H19 on Rasgrf1 and Snrpn e125 at but retain that Gtl2 methylation substantial stage at this 	
H19	NDN	know SNRPN Four gene NDN Necdin H19 and IGF2 imprint to be mouse in and human select be study for monkey in rhesus ICs along with two imprint centre employ associate regulation with the NDN of H19 IGF2 and GAPD SNRPN be gene a a non-imprinted control 	
H19	SNRPN	know SNRPN Four gene NDN Necdin H19 and IGF2 imprint to be mouse in and human select be study for monkey in rhesus ICs along with two imprint centre employ associate regulation with the NDN of H19 IGF2 and GAPD SNRPN be gene a a non-imprinted control 	
H19	IGF2	know SNRPN Four gene NDN Necdin H19 and IGF2 imprint to be mouse in and human select be study for monkey in rhesus ICs along with two imprint centre employ associate regulation with the NDN of H19 IGF2 and GAPD SNRPN be gene a a non-imprinted control 	
JADE	Jade1	activate JADE transcriptionally Jade1 component a key binding in the HBO1 human acetylase complex to ORC1 histone acetylation 	
JADE	HBO1	activate JADE transcriptionally Jade1 component a key binding in the HBO1 human acetylase complex to ORC1 histone acetylation 	
SOX2OT	SOX2	evaluate Here we have correlation a possible pattern between expression SOX2OT of and those regulator of master SOX2 of pluripotency and OCT4 sample in esophageal squamous cell carcinoma ESCC tissue 	
SOX2OT	OCT4	evaluate Here we have correlation a possible pattern between expression SOX2OT of and those regulator of master SOX2 of pluripotency and OCT4 sample in esophageal squamous cell carcinoma ESCC tissue 	
SOX2OT	OCT4	reveal data Our upregulation a significant co SOX2OT of SOX2 along with and OCT4 sample in tumor compare tissue to the non-tumor obtain margin from the tumor of same 	
SOX2OT	SOX2	reveal data Our upregulation a significant co SOX2OT of SOX2 along with and OCT4 sample in tumor compare tissue to the non-tumor obtain margin from the tumor of same 	
HOTTIP	HOXA13	Here correlate by data clinicopathological and expression demonstrate we associate that level the HOTTIP of and HOXA13 be progression with HCC patient clinical and predict outcome disease 	
Malat1	YAP	Taken together provide data these underlie mechanism a novel balance the YAP between SRSF1 and Malat1 and uncover role a new YAP of regulate in lncRNA long non-coding RNA 	
Malat1	SRSF1	Taken together provide data these underlie mechanism a novel balance the YAP between SRSF1 and Malat1 and uncover role a new YAP of regulate in lncRNA long non-coding RNA 	
H19	Peg3	assess degree The methylation of and mRNA expression Ndn of H19 Peg3 and Snrpn be sperm in paternal and cortex in the cerebral offspring of each 	
H19	Ndn	assess degree The methylation of and mRNA expression Ndn of H19 Peg3 and Snrpn be sperm in paternal and cortex in the cerebral offspring of each 	
H19	Snrpn	assess degree The methylation of and mRNA expression Ndn of H19 Peg3 and Snrpn be sperm in paternal and cortex in the cerebral offspring of each 	
H19	Peg3	change affect It do methylation H19 in paternal sperm and Peg3 and CpG7 in the offspring s cerebral cortex and CpG11 Peg3 in and Snrpn but level the expression of mRNA have not 	
H19	Snrpn	change affect It do methylation H19 in paternal sperm and Peg3 and CpG7 in the offspring s cerebral cortex and CpG11 Peg3 in and Snrpn but level the expression of mRNA have not 	
H19	CpG7	change affect It do methylation H19 in paternal sperm and Peg3 and CpG7 in the offspring s cerebral cortex and CpG11 Peg3 in and Snrpn but level the expression of mRNA have not 	
H19	CpG11	change affect It do methylation H19 in paternal sperm and Peg3 and CpG7 in the offspring s cerebral cortex and CpG11 Peg3 in and Snrpn but level the expression of mRNA have not 	
NEAT1	SFPQ	show Together data our play that NEAT1 role an important response in the innate immune regulation through the transcriptional gene of antiviral action by the stimulus-responsive cooperative NEAT1 of and SFPQ 	
CDKN2BAS	CDKN2A	study aim Therefore we study to expression the CDKN2A of the INK4 ARF locus gene and CDKN2BAS examine in order to expression the p16 INK4a protein and level the proliferation of cell plaque in carotid and total saphenous tissue sample A patient of 50 subject 33 symptomatic and subject 17 asymptomatic CA with carotid atherosclerosis be 	
linc-POU3F3	EZH2	associate linc-POU3F3 In RNA immunoprecipitation assay be mRNA with the EZH2 messenger RNA 	
H19	Snrpn	unaffected expression The normal monoallelic Snrpn of the imprinted gene H19 and Kcnq1ot1 be placenta in either the or embryo the female from the superovulated E145 at or E185 	
Kcnq1ot1	Snrpn	unaffected expression The normal monoallelic Snrpn of the imprinted gene H19 and Kcnq1ot1 be placenta in either the or embryo the female from the superovulated E145 at or E185 	
TUG1	HOXB7	demonstrate upregulate Interestingly inhibition TUG1 of could assay homeobox B7 HOXB7 expression ChIP bind that promoter the locus of HOXB7 be enhancer by EZH2 homolog of zeste 2 component a key PRC2 of and H3K27 be trimethylated 	
TUG1	EZH2	demonstrate upregulate Interestingly inhibition TUG1 of could assay homeobox B7 HOXB7 expression ChIP bind that promoter the locus of HOXB7 be enhancer by EZH2 homolog of zeste 2 component a key PRC2 of and H3K27 be trimethylated 	
TUG1	ChIP	demonstrate upregulate Interestingly inhibition TUG1 of could assay homeobox B7 HOXB7 expression ChIP bind that promoter the locus of HOXB7 be enhancer by EZH2 homolog of zeste 2 component a key PRC2 of and H3K27 be trimethylated 	
TUG1	HOXB7	suggest Together result these regulator that TUG1 p53 - regulated be a growth act which part in control through HOXB7 of 	
lincRNA-p21	p53	indicate finding These affect that lincRNA-p21 expression global gene and influence pathway the p53 tumor suppressor act by ci in coactivator a a locus-restricted expression for p53-mediated p21 	
MEG3	p53	activate Finally MEG3 p53 cell in OVCAR3 	
UCA1	hnRNPA1	find cell In proliferate we bind that hnRNPA1 and destabilize mRNA CDKN2A sequesters whereas UCA1 during senescence hnRNPA1 and stabilizes thus CDKN2A 	
FOXCUT	FOXC1	down-regulated When expression the FOXCUT of be by small interfere siRNA RNA decrease expression the FOXC1 of be also 	
LEF1NAT	PTEN	analysis interaction The miR-544a between LEF1NAT and PTEN be probe use bioinformatical and assay dual-luciferase 	
SNHG15	MYC	perform analysis Gene expression inhibition upon SNHG15 show implicate change gene in multiple relevant progression in cancer include BAG3 MYC NRAS or ERBB3 	
SNHG15	NRAS	perform analysis Gene expression inhibition upon SNHG15 show implicate change gene in multiple relevant progression in cancer include BAG3 MYC NRAS or ERBB3 	
SNHG15	BAG3	perform analysis Gene expression inhibition upon SNHG15 show implicate change gene in multiple relevant progression in cancer include BAG3 MYC NRAS or ERBB3 	
SNHG15	ERBB3	perform analysis Gene expression inhibition upon SNHG15 show implicate change gene in multiple relevant progression in cancer include BAG3 MYC NRAS or ERBB3 	
SMIM31	AGR2	determine pattern The expression miR-143 of SMIM31 and AGR2 cancer in both pancreatic and tissue adjacent be then 	
MALAT1	RPL19	RP11-206M117 lncRNAs The high expressed be MALAT1 U85 and NEAT1 and FTL mRNAs the high express be RPL19 SCGB2A2 and TMSB4X 	
MALAT1	SCGB2A2	RP11-206M117 lncRNAs The high expressed be MALAT1 U85 and NEAT1 and FTL mRNAs the high express be RPL19 SCGB2A2 and TMSB4X 	
MALAT1	FTL	RP11-206M117 lncRNAs The high expressed be MALAT1 U85 and NEAT1 and FTL mRNAs the high express be RPL19 SCGB2A2 and TMSB4X 	
U85	RPL19	RP11-206M117 lncRNAs The high expressed be MALAT1 U85 and NEAT1 and FTL mRNAs the high express be RPL19 SCGB2A2 and TMSB4X 	
U85	SCGB2A2	RP11-206M117 lncRNAs The high expressed be MALAT1 U85 and NEAT1 and FTL mRNAs the high express be RPL19 SCGB2A2 and TMSB4X 	
U85	FTL	RP11-206M117 lncRNAs The high expressed be MALAT1 U85 and NEAT1 and FTL mRNAs the high express be RPL19 SCGB2A2 and TMSB4X 	
CTXND1	MST1	reveal Moreover investigation mechanistic inhibit that overexpression CTXND1 translocation nuclear YAP of induce by expression MST1 and promote phosphorylation LATS1 of and YAP downregulating consequently expression the MCM7 of cell cycle regulatory protein and D1 cyclin 	
HOTAIR	STAT3	reveal analysis Further promoter of the HOTAIR of regulate that STAT3 could potentially activity the HOTAIR of the cell in cervical cancer and inhibition STAT3 of have effect similar migration on the proliferation and invasion cell of the cervical cancer that a HOTAIR of 	
HOTAIR	STAT3	associate Further suppression the expression of STAT3 be downregulation with concomitant HOTAIR of IncRNA indicate a qRT-PCR by the 	
HULC	CDKN1	Deletion of heighten erase HULC growth the cell accelerate follow follow CDKN1 low dose irradiation exposure down-regulated gene the neighbor HULC of be overexpression by HULC of exposure low dose irradiation result via complementary base pair promote in process cell cycle 	
