TMPO-AS1	TMPO	Knockdown of TMPO-AS1 decrease the mRNA and protein level of TMPO in NSCLC cell 	
H19	OCT4	We examine the effect of occludin antibody on blastocoel formation blastocyst permeability and expression of H19 and OCT4 marker of TE differentiation and blastomere pluripotency respectively 	
H19	OCT4	At the same time OCT4 expression increase while expression of H19 become barely detectable 	
H19	Igf2r	To determine whether maternal primary imprinting have be establish in the oocyte derive from ng fg PE we examine the DNA methylation status in differentially methylated region of three imprinted gene Igf2r Lit1 and H19 	
Lit1	Igf2r	To determine whether maternal primary imprinting have be establish in the oocyte derive from ng fg PE we examine the DNA methylation status in differentially methylated region of three imprinted gene Igf2r Lit1 and H19 	
H19	Ascl2	Placental tissue display activation of the normally silent allele for H19 Ascl2 Snrpn Peg3 and Xist while in the embryo proper imprint expression for the most part be preserve 	
H19	Snrpn	Placental tissue display activation of the normally silent allele for H19 Ascl2 Snrpn Peg3 and Xist while in the embryo proper imprint expression for the most part be preserve 	
H19	Xist	Placental tissue display activation of the normally silent allele for H19 Ascl2 Snrpn Peg3 and Xist while in the embryo proper imprint expression for the most part be preserve 	
H19	Snrpn	methylation be erase on Rasgrf1 H19 and Snrpn at e125 but that Gtl2 retain substantial methylation at this stage 	
H19	NDN	Four gene NDN Necdin H19 SNRPN and IGF2 know to be imprint in mouse and human be select for study in rhesus monkey along with two imprint centre ICs associate with the regulation of H19 IGF2 NDN and SNRPN GAPD be employ a a non-imprinted control gene 	
H19	SNRPN	Four gene NDN Necdin H19 SNRPN and IGF2 know to be imprint in mouse and human be select for study in rhesus monkey along with two imprint centre ICs associate with the regulation of H19 IGF2 NDN and SNRPN GAPD be employ a a non-imprinted control gene 	
H19	IGF2	Four gene NDN Necdin H19 SNRPN and IGF2 know to be imprint in mouse and human be select for study in rhesus monkey along with two imprint centre ICs associate with the regulation of H19 IGF2 NDN and SNRPN GAPD be employ a a non-imprinted control gene 	
JADE	Jade1	JADE transcriptionally activate Jade1 a key component in the HBO1 human acetylase binding to ORC1 histone acetylation complex 	
JADE	HBO1	JADE transcriptionally activate Jade1 a key component in the HBO1 human acetylase binding to ORC1 histone acetylation complex 	
SOX2OT	SOX2	Here we have evaluate a possible correlation between expression pattern of SOX2OT and those of master regulator of pluripotency SOX2 and OCT4 in esophageal squamous cell carcinoma ESCC tissue sample 	
SOX2OT	OCT4	Here we have evaluate a possible correlation between expression pattern of SOX2OT and those of master regulator of pluripotency SOX2 and OCT4 in esophageal squamous cell carcinoma ESCC tissue sample 	
SOX2OT	OCT4	Our data reveal a significant co upregulation of SOX2OT along with SOX2 and OCT4 in tumor sample compare to the non-tumor tissue obtain from the margin of same tumor 	
SOX2OT	SOX2	Our data reveal a significant co upregulation of SOX2OT along with SOX2 and OCT4 in tumor sample compare to the non-tumor tissue obtain from the margin of same tumor 	
HOTTIP	HOXA13	Here by correlate clinicopathological and expression data we demonstrate that the level of HOTTIP and HOXA13 be associate with HCC patient clinical progression and predict disease outcome 	
Malat1	YAP	Taken together these data provide a novel mechanism underlie the balance between SRSF1 YAP and Malat1 and uncover a new role of YAP in regulate long non-coding RNA lncRNA 	
Malat1	SRSF1	Taken together these data provide a novel mechanism underlie the balance between SRSF1 YAP and Malat1 and uncover a new role of YAP in regulate long non-coding RNA lncRNA 	
H19	Peg3	The degree of methylation and mRNA expression of H19 Peg3 Ndn and Snrpn be assess in paternal sperm and in the cerebral cortex of each offspring 	
H19	Ndn	The degree of methylation and mRNA expression of H19 Peg3 Ndn and Snrpn be assess in paternal sperm and in the cerebral cortex of each offspring 	
H19	Snrpn	The degree of methylation and mRNA expression of H19 Peg3 Ndn and Snrpn be assess in paternal sperm and in the cerebral cortex of each offspring 	
H19	Peg3	It do affect methylation in paternal sperm H19 and Peg3 and in the offspring s cerebral cortex CpG7 and CpG11 in Peg3 and Snrpn but the level of mRNA expression have not change 	
H19	Snrpn	It do affect methylation in paternal sperm H19 and Peg3 and in the offspring s cerebral cortex CpG7 and CpG11 in Peg3 and Snrpn but the level of mRNA expression have not change 	
H19	CpG7	It do affect methylation in paternal sperm H19 and Peg3 and in the offspring s cerebral cortex CpG7 and CpG11 in Peg3 and Snrpn but the level of mRNA expression have not change 	
H19	CpG11	It do affect methylation in paternal sperm H19 and Peg3 and in the offspring s cerebral cortex CpG7 and CpG11 in Peg3 and Snrpn but the level of mRNA expression have not change 	
NEAT1	SFPQ	Together our data show that NEAT1 play an important role in the innate immune response through the transcriptional regulation of antiviral gene by the stimulus-responsive cooperative action of NEAT1 and SFPQ 	
CDKN2BAS	CDKN2A	Therefore we aim to study the expression of the INK4 ARF locus gene CDKN2A and CDKN2BAS in order to examine the p16 INK4a protein expression and the level of cell proliferation in carotid plaque and saphenous tissue sample A total of 50 patient 33 symptomatic subject and 17 asymptomatic subject with carotid atherosclerosis CA be study 	
linc-POU3F3	EZH2	In RNA immunoprecipitation assay linc-POU3F3 be associate with the EZH2 messenger RNA mRNA 	
H19	Snrpn	The normal monoallelic expression of the imprinted gene H19 Snrpn and Kcnq1ot1 be unaffected in either the placenta or the embryo from the superovulated female at E145 or E185 	
Kcnq1ot1	Snrpn	The normal monoallelic expression of the imprinted gene H19 Snrpn and Kcnq1ot1 be unaffected in either the placenta or the embryo from the superovulated female at E145 or E185 	
TUG1	HOXB7	Interestingly inhibition of TUG1 could upregulate homeobox B7 HOXB7 expression ChIP assay demonstrate that the promoter of HOXB7 locus be bind by EZH2 enhancer of zeste homolog 2 a key component of PRC2 and be H3K27 trimethylated 	
TUG1	EZH2	Interestingly inhibition of TUG1 could upregulate homeobox B7 HOXB7 expression ChIP assay demonstrate that the promoter of HOXB7 locus be bind by EZH2 enhancer of zeste homolog 2 a key component of PRC2 and be H3K27 trimethylated 	
TUG1	ChIP	Interestingly inhibition of TUG1 could upregulate homeobox B7 HOXB7 expression ChIP assay demonstrate that the promoter of HOXB7 locus be bind by EZH2 enhancer of zeste homolog 2 a key component of PRC2 and be H3K27 trimethylated 	
TUG1	HOXB7	Together these result suggest that p53 -regulated TUG1 be a growth regulator which act in part through control of HOXB7 	
lincRNA-p21	p53	These finding indicate that lincRNA-p21 affect global gene expression and influence the p53 tumor suppressor pathway by act in ci a a locus-restricted coactivator for p53-mediated p21 expression 	
MEG3	p53	Finally MEG3 activate p53 in OVCAR3 cell 	
UCA1	hnRNPA1	In proliferate cell we find that hnRNPA1 bind and destabilize CDKN2A mRNA whereas during senescence UCA1 sequesters hnRNPA1 and thus stabilizes CDKN2A 	
FOXCUT	FOXC1	When the expression of FOXCUT be down-regulated by small interfere RNA siRNA the expression of FOXC1 be also decrease 	
LEF1NAT	PTEN	The interaction between LEF1NAT miR-544a and PTEN be probe use bioinformatical analysis and dual-luciferase assay 	
SNHG15	MYC	Gene expression analysis perform upon SNHG15 inhibition show change in multiple relevant gene implicate in cancer progression include MYC NRAS BAG3 or ERBB3 	
SNHG15	NRAS	Gene expression analysis perform upon SNHG15 inhibition show change in multiple relevant gene implicate in cancer progression include MYC NRAS BAG3 or ERBB3 	
SNHG15	BAG3	Gene expression analysis perform upon SNHG15 inhibition show change in multiple relevant gene implicate in cancer progression include MYC NRAS BAG3 or ERBB3 	
SNHG15	ERBB3	Gene expression analysis perform upon SNHG15 inhibition show change in multiple relevant gene implicate in cancer progression include MYC NRAS BAG3 or ERBB3 	
SMIM31	AGR2	The expression pattern of SMIM31 miR-143 and AGR2 in both pancreatic cancer and adjacent tissue be then determine 	
MALAT1	RPL19	The high expressed lncRNAs be MALAT1 U85 RP11-206M117 and NEAT1 and the high express mRNAs be RPL19 SCGB2A2 FTL and TMSB4X 	
MALAT1	SCGB2A2	The high expressed lncRNAs be MALAT1 U85 RP11-206M117 and NEAT1 and the high express mRNAs be RPL19 SCGB2A2 FTL and TMSB4X 	
MALAT1	FTL	The high expressed lncRNAs be MALAT1 U85 RP11-206M117 and NEAT1 and the high express mRNAs be RPL19 SCGB2A2 FTL and TMSB4X 	
U85	RPL19	The high expressed lncRNAs be MALAT1 U85 RP11-206M117 and NEAT1 and the high express mRNAs be RPL19 SCGB2A2 FTL and TMSB4X 	
U85	SCGB2A2	The high expressed lncRNAs be MALAT1 U85 RP11-206M117 and NEAT1 and the high express mRNAs be RPL19 SCGB2A2 FTL and TMSB4X 	
U85	FTL	The high expressed lncRNAs be MALAT1 U85 RP11-206M117 and NEAT1 and the high express mRNAs be RPL19 SCGB2A2 FTL and TMSB4X 	
CTXND1	MST1	Moreover mechanistic investigation reveal that CTXND1 overexpression inhibit nuclear translocation of YAP by induce MST1 expression and promote phosphorylation of LATS1 and YAP consequently downregulating the expression of cell cycle regulatory protein MCM7 and cyclin D1 	
HOTAIR	STAT3	Further analysis of the promoter of HOTAIR reveal that STAT3 could potentially regulate the activity of the HOTAIR in cervical cancer cell and inhibition of STAT3 have similar effect on the proliferation migration and invasion of the cervical cancer cell a that of HOTAIR 	
HOTAIR	STAT3	Further the suppression of STAT3 expression be associate with concomitant downregulation of IncRNA HOTAIR a indicate by the qRT-PCR 	
HULC	CDKN1	Deletion of heighten HULC erase the cell growth accelerate follow low dose irradiation exposure CDKN1 the neighbor gene of HULC be down-regulated by overexpression of HULC follow low dose irradiation exposure via complementary base pair result in promote cell cycle process 	
