TMPO-AS1	TMPO	decreased Knockdown TMPO-AS1 of mRNA the and protein levels TMPO of cells in NSCLC 
H19	VDUP1	open results These fact together with the associated that H19 VDUP1 and globulin this have been cell with proliferation and differentiation line a new research of contributes about how underexpression the genes of these effect to the stimulating diet of a high corn oil carcinogenesis on experimental mammary 
H19	OCT4	examined We effect the antibody of occludin permeability on blastocoel formation blastocyst and expression H19 of and markers OCT4 differentiation of TE and pluripotency blastomere respectively 
H19	OCT4	increased time At the same expression OCT4 became while expression H19 of detectable barely 
H19	Igf2r	examined determine To established whether imprinting primary maternal had been oocytes in the derived PE from ng fg we status the DNA methylation regions in methylated differentially genes of three imprinted Lit1 Igf2r and H19 
Lit1	Igf2r	examined determine To established whether imprinting primary maternal had been oocytes in the derived PE from ng fg we status the DNA methylation regions in methylated differentially genes of three imprinted Lit1 Igf2r and H19 
H19	Ascl2	displayed tissues Placental activation allele of the silent normally Peg3 for H19 Ascl2 Snrpn and Xist preserved while expression in the embryo proper imprinted part for the most was 
H19	Snrpn	displayed tissues Placental activation allele of the silent normally Peg3 for H19 Ascl2 Snrpn and Xist preserved while expression in the embryo proper imprinted part for the most was 
H19	Xist	displayed tissues Placental activation allele of the silent normally Peg3 for H19 Ascl2 Snrpn and Xist preserved while expression in the embryo proper imprinted part for the most was 
H19	Snrpn	erased methylation is H19 on Rasgrf1 and Snrpn e125 at but retains that Gtl2 methylation substantial stage at this 
H19	NDN	employed selected genes Four SNRPN NDN Necdin H19 and IGF2 known imprinted to be mice in and humans were study for monkeys in rhesus ICs along with two imprinting centres associated regulation with the NDN of H19 IGF2 and GAPD SNRPN was gene as a non-imprinted control 
H19	SNRPN	employed selected genes Four SNRPN NDN Necdin H19 and IGF2 known imprinted to be mice in and humans were study for monkeys in rhesus ICs along with two imprinting centres associated regulation with the NDN of H19 IGF2 and GAPD SNRPN was gene as a non-imprinted control 
H19	IGF2	employed selected genes Four SNRPN NDN Necdin H19 and IGF2 known imprinted to be mice in and humans were study for monkeys in rhesus ICs along with two imprinting centres associated regulation with the NDN of H19 IGF2 and GAPD SNRPN was gene as a non-imprinted control 
JADE	Jade1	activates JADE transcriptionally Jade1 component a key binding in the HBO1 human acetylase complex to ORC1 histone acetylation 
JADE	HBO1	activates JADE transcriptionally Jade1 component a key binding in the HBO1 human acetylase complex to ORC1 histone acetylation 
SOX2OT	SOX2	evaluated Here we have correlation a possible patterns between expression SOX2OT of and those regulators of master SOX2 of pluripotency and OCT4 samples in esophageal squamous cell carcinoma ESCC tissue 
SOX2OT	OCT4	evaluated Here we have correlation a possible patterns between expression SOX2OT of and those regulators of master SOX2 of pluripotency and OCT4 samples in esophageal squamous cell carcinoma ESCC tissue 
SOX2OT	OCT4	revealed data Our upregulation a significant co SOX2OT of SOX2 along with and OCT4 samples in tumor tissues compared to the non-tumor obtained margin from the tumors of same 
SOX2OT	SOX2	revealed data Our upregulation a significant co SOX2OT of SOX2 along with and OCT4 samples in tumor tissues compared to the non-tumor obtained margin from the tumors of same 
HOTTIP	HOXA13	demonstrate correlating Here by data clinicopathological and expression we associated that levels the HOTTIP of and HOXA13 are patients with HCC progression clinical and predict outcome disease 
Malat1	YAP	Taken together provided data these mechanism a novel underlying balance the YAP between SRSF1 and Malat1 and uncovered role a new YAP of regulating in lncRNA long non-coding RNA 
Malat1	SRSF1	Taken together provided data these mechanism a novel underlying balance the YAP between SRSF1 and Malat1 and uncovered role a new YAP of regulating in lncRNA long non-coding RNA 
H19	Peg3	assessed degree The methylation of and mRNA expression Ndn of H19 Peg3 and Snrpn were sperm in paternal and cortices in the cerebral offspring of each 
H19	Ndn	assessed degree The methylation of and mRNA expression Ndn of H19 Peg3 and Snrpn were sperm in paternal and cortices in the cerebral offspring of each 
H19	Snrpn	assessed degree The methylation of and mRNA expression Ndn of H19 Peg3 and Snrpn were sperm in paternal and cortices in the cerebral offspring of each 
H19	Peg3	changed affect It did methylation H19 in paternal sperm and Peg3 and CpG7 in the offspring s cerebral cortices and CpG11 Peg3 in and Snrpn but level the expression of mRNA has not 
H19	Snrpn	changed affect It did methylation H19 in paternal sperm and Peg3 and CpG7 in the offspring s cerebral cortices and CpG11 Peg3 in and Snrpn but level the expression of mRNA has not 
H19	CpG7	changed affect It did methylation H19 in paternal sperm and Peg3 and CpG7 in the offspring s cerebral cortices and CpG11 Peg3 in and Snrpn but level the expression of mRNA has not 
H19	CpG11	changed affect It did methylation H19 in paternal sperm and Peg3 and CpG7 in the offspring s cerebral cortices and CpG11 Peg3 in and Snrpn but level the expression of mRNA has not 
NEAT1	SFPQ	show Together data our plays that NEAT1 role an important response in the innate immune regulation through the transcriptional genes of antiviral action by the stimulus-responsive cooperative NEAT1 of and SFPQ 
CDKN2BAS	CDKN2A	studied aimed Therefore we study to expression the genes of the INK4 ARF locus CDKN2A and CDKN2BAS examine in order to expression the p16 INK4a protein and level the proliferation of cell plaques in carotid and samples saphenous tissue total A patients of 50 subjects 33 symptomatic and subjects 17 asymptomatic CA with carotid atherosclerosis were 
linc-POU3F3	EZH2	associated assays In RNA immunoprecipitation linc-POU3F3 was mRNA with the EZH2 messenger RNA 
H19	Snrpn	unaffected expression The normal monoallelic genes of the imprinted Snrpn H19 and Kcnq1ot1 was placentae in either the or embryos the females from the superovulated E145 at or E185 
Kcnq1ot1	Snrpn	unaffected expression The normal monoallelic genes of the imprinted Snrpn H19 and Kcnq1ot1 was placentae in either the or embryos the females from the superovulated E145 at or E185 
TUG1	HOXB7	upregulate Interestingly inhibition TUG1 of could expression homeobox B7 HOXB7 ; demonstrated assays ChIP bound that promoter the locus of HOXB7 was enhancer by EZH2 homolog of zeste 2 component a key PRC2 of and trimethylated was H3K27 
TUG1	EZH2	upregulate Interestingly inhibition TUG1 of could expression homeobox B7 HOXB7 ; demonstrated assays ChIP bound that promoter the locus of HOXB7 was enhancer by EZH2 homolog of zeste 2 component a key PRC2 of and trimethylated was H3K27 
TUG1	ChIP	upregulate Interestingly inhibition TUG1 of could expression homeobox B7 HOXB7 ; demonstrated assays ChIP bound that promoter the locus of HOXB7 was enhancer by EZH2 homolog of zeste 2 component a key PRC2 of and trimethylated was H3K27 
TUG1	HOXB7	suggest Together results these regulator that TUG1 p53 - regulated is a growth acts which part in control through HOXB7 of 
lincRNA-p21	p53	indicate findings These affects that lincRNA-p21 expression global gene and influences pathway the p53 tumor suppressor acting by cis in coactivator as a locus-restricted expression for p53-mediated p21 
MEG3	p53	Finally p53 MEG3 activated cells in OVCAR3 
UCA1	hnRNPA1	found cells In proliferating we binds that hnRNPA1 and destabilizes mRNA CDKN2A sequesters whereas UCA1 during senescence hnRNPA1 and stabilizes thus CDKN2A 
FOXCUT	FOXC1	decreased down-regulated When expression the FOXCUT of was siRNA by small interfering RNA expression the FOXC1 of was also 
LEF1NAT	PTEN	probed interaction The miR-544a between LEF1NAT and PTEN was using analysis bioinformatical and assay dual-luciferase 
SNHG15	MYC	showed analysis Gene expression performed inhibition upon SNHG15 changes genes in multiple relevant implicated progression in cancer BAG3 including MYC NRAS or ERBB3 
SNHG15	NRAS	showed analysis Gene expression performed inhibition upon SNHG15 changes genes in multiple relevant implicated progression in cancer BAG3 including MYC NRAS or ERBB3 
SNHG15	BAG3	showed analysis Gene expression performed inhibition upon SNHG15 changes genes in multiple relevant implicated progression in cancer BAG3 including MYC NRAS or ERBB3 
SNHG15	ERBB3	showed analysis Gene expression performed inhibition upon SNHG15 changes genes in multiple relevant implicated progression in cancer BAG3 including MYC NRAS or ERBB3 
SMIM31	AGR2	determined patterns The expression miR-143 of SMIM31 and AGR2 cancer in both pancreatic and tissues adjacent were then 
MALAT1	RPL19	RP11-206M117 lncRNAs The highest expressed were MALAT1 U85 and NEAT1 and FTL mRNAs the highest expressing were RPL19 SCGB2A2 and TMSB4X 
MALAT1	SCGB2A2	RP11-206M117 lncRNAs The highest expressed were MALAT1 U85 and NEAT1 and FTL mRNAs the highest expressing were RPL19 SCGB2A2 and TMSB4X 
MALAT1	FTL	RP11-206M117 lncRNAs The highest expressed were MALAT1 U85 and NEAT1 and FTL mRNAs the highest expressing were RPL19 SCGB2A2 and TMSB4X 
U85	RPL19	RP11-206M117 lncRNAs The highest expressed were MALAT1 U85 and NEAT1 and FTL mRNAs the highest expressing were RPL19 SCGB2A2 and TMSB4X 
U85	SCGB2A2	RP11-206M117 lncRNAs The highest expressed were MALAT1 U85 and NEAT1 and FTL mRNAs the highest expressing were RPL19 SCGB2A2 and TMSB4X 
U85	FTL	RP11-206M117 lncRNAs The highest expressed were MALAT1 U85 and NEAT1 and FTL mRNAs the highest expressing were RPL19 SCGB2A2 and TMSB4X 
CTXND1	MST1	revealed Moreover investigations mechanistic inhibited that overexpression CTXND1 translocation nuclear YAP of inducing by expression MST1 and promoting phosphorylation LATS1 of and YAP downregulating consequently expression the proteins of cell cycle regulatory D1 MCM7 and cyclin 
HOTAIR	STAT3	revealed analysis Further promoter of the HOTAIR of regulate that STAT3 could potentially activity the HOTAIR of the cells in cervical cancer and inhibition STAT3 of had effects similar migration on the proliferation and invasion cells of the cervical cancer that as HOTAIR of 
HOTAIR	STAT3	associated Further suppression the expression of STAT3 was downregulation with concomitant HOTAIR of IncRNA indicated as qRT-PCR by the 
HULC	CDKN1	erased Deletion HULC of heightened accelerated growth the cells down-regulated CDKN1 following low dose irradiation exposure gene the neighbor HULC of was overexpression by HULC of exposure following low dose irradiation pairing via complementary base resulting promoting in process cell cycle 
