lncrna	Interacting partner	Interaction Class	Interaction Mode	Organism	Description	Tissue	Phenotype	Method	Pubmed id	
MEG3	BMP4	RNA-Protein	Regulation	Homo sapiens	Upregulation of lncRNA MEG3 Promotes Osteogenic Differentiation of Mesenchymal Stem Cells From Multiple Myeloma Patients By Targeting BMP4 Transcription.	bone	nan	RNA immunoprecipitation	25753650	
Meg3	Ezh2	RNA-Protein	Binding	Mus musculus	Gtl2 RNA - most likely its proximal 1 kb - directly and specifically binds PRC2	nan	bind to the PRC2-chromatin- modifying complex in mESCs.	RIP-seq	21172659	
MEG3	ILF3	RNA-Protein	Binding	Homo sapiens	Mass spectrometry and gene ontology (GO) analysis showed that MEG3 binding proteins possess nucleotide binding properties and take part in transport, translation, and other biological processes. In addition, interleukin enhancer binding factor 3 (ILF3) and poly(A) binding protein, cytoplasmic 3 (PABPC3) were validated for their interaction with MEG3	-	-	MTRAP-MS	26155902	
MEG3	PABPC3	RNA-Protein	Binding	Homo sapiens	Mass spectrometry and gene ontology (GO) analysis showed that MEG3 binding proteins possess nucleotide binding properties and take part in transport, translation, and other biological processes. In addition, interleukin enhancer binding factor 3 (ILF3) and poly(A) binding protein, cytoplasmic 3 (PABPC3) were validated for their interaction with MEG3	-	-	MTRAP-MS	26155902	
Mhrt	Smarca4	RNA-Protein	Binding	Mus musculus	Mhrt can directly interact with the helicase domain of Brg1 to regulate its occupancy and activity,suggesting that Mhrt may function as a decoy for the chromatin remodeler to prevent its occupancy on target gene promoters.	heart	prevent chromatin remodelling	RNA immunoprecipitation	25119045	
MIAT	SRSF1	RNA-Protein	Binding	Homo sapiens	Gomafu binds directly to the splicing factors QKI and SRSF1	nan	nan	nan	23628989	
MIAT	QKI	RNA-Protein	Binding	Homo sapiens	Gomafu binds directly to the splicing factors QKI and SRSF1	nan	nan	nan	23628989	
MIAT	SF1	RNA-Protein	Binding	Homo sapiens	Gomafu RNA binds directly to SF1 in vivo	nan	nan	In vivo co-immunoprecipitation	21463453	
Miat	Bmi1	RNA-Protein	Binding	Mus musculus	RNA immunoprecipitation using an antibody specific to BMI1 revealed an interaction with Gomafu lncRNA. 	nan	nan	RIP and ChIP assays	25792222	
Miat	Qk	RNA-Protein	Binding	Mus musculus	Gomafu binds directly to the splicing factors QKI and SRSF1	nan	nan	nan	23628989	
Miat	Srsf1	RNA-Protein	Binding	Mus musculus	Gomafu binds directly to the splicing factors QKI and SRSF1	nan	nan	nan	23628989	
Miat	Sf1	RNA-Protein	Binding	Mus musculus	Gomafu RNA binds directly to SF1 in vivo	nan	nan	In vivo co-immunoprecipitation	21463453	
MIR31HG	EZH2	RNA-Protein	Binding	Homo sapiens	MIR31HGis able to interact directly with PRC2	Oncogene-induced senescence	induces a senescence phenotype	RNA electrophoretic mobility shift assays	25908244	
MIR31HG	SUZ12	RNA-Protein	Binding	Homo sapiens	MIR31HGis able to interact directly with PRC2	Oncogene-induced senescence	induces a senescence phenotype	RNA electrophoretic mobility shift assays	25908244	
MRLN	ATP2A1	RNA-Protein	Binding	Homo sapiens	MLN interacts directly with SERCA and impedes Ca2+ uptake into the SR.	nan	Myoregulin regulates Ca2+ handling by inhibiting the pump activity of SERCA	coIP	25640239	
Mrln	Atp2a1	RNA-Protein	Binding	Mus musculus	MLN interacts directly with SERCA and impedes Ca2+ uptake into the SR.	nan	Myoregulin regulates Ca2+ handling by inhibiting the pump activity of SERCA	coIP	25640239	
MYCLo-1	ELAVL1	RNA-Protein	Binding	Homo sapiens	MYCLo-1 is abundant in RIP samples using HuR antibodies 	nan	nan	RIP and RNA pull-down	25663692	
MYCNOS	GSK3B	RNA-Protein	Regulation	Homo sapiens	NCYM inhibits GSK3	human neuroblastoma tissue	nan	qPCR, Western blot 	24391509	
MYCNOS	G3BP1	RNA-Protein	Binding	Homo sapiens	IP of the MYCNOS associated proteins, MAP4, CIP29, G3BP1 and FKBP were immunoprecipitated and probed by qRTPCR for MYCNOS with MYCNOS specific primers sets 3 and 10	-	human neuroblastoma	IP;LC-MS	26156430	
MYCNOS	MAP4	RNA-Protein	Binding	Homo sapiens	IP of the MYCNOS associated proteins, MAP4, CIP29, G3BP1 and FKBP were immunoprecipitated and probed by qRTPCR for MYCNOS with MYCNOS specific primers sets 3 and 10	-	human neuroblastoma	IP;LC-MS	26156430	
MYCNOS	SARNP	RNA-Protein	Binding	Homo sapiens	IP of the MYCNOS associated proteins, MAP4, CIP29, G3BP1 and FKBP were immunoprecipitated and probed by qRTPCR for MYCNOS with MYCNOS specific primers sets 3 and 10	-	human neuroblastoma	IP;LC-MS	26156430	
MYCNOS	FKBP5	RNA-Protein	Binding	Homo sapiens	IP of the MYCNOS associated proteins, MAP4, CIP29, G3BP1 and FKBP were immunoprecipitated and probed by qRTPCR for MYCNOS with MYCNOS specific primers sets 3 and 10	-	human neuroblastoma	IP;LC-MS	26156430	
Nctc1	Polr2a	RNA-Protein	Binding	Mus musculus	RNAP II association with Nctc1 inversely correlates with H19 transcriptional activation	nan	Nctc1 imprinting	in viro	23221643	
NEAT1	SMARCA2	RNA-Protein	Binding	Homo sapiens	a direct interaction between NEAT1 and these SWI/SNF subunits	nan	nan	UV cross-linking immunoprecipitation (IP)	25831520	
NEAT1	SMARCA4	RNA-Protein	Binding	Homo sapiens	a direct interaction between NEAT1 and these SWI/SNF subunits	nan	nan	UV cross-linking immunoprecipitation (IP)	25831520	
NEAT1	SRSF5	RNA-Protein	Binding	Homo sapiens	NEAT1 Associated with SRp40	adipose	nan	RNA-IP	25437750	
NEAT1	HNRNPD	RNA-Protein	Binding	Homo sapiens	we confirmed the interaction of AUF1 with NEAT1 and MALAT1 by RIP analysis and by in vitro binding assays	HeLa (human cervical carcinoma) cells	nan	RIP	25366541	
NEAT1	SFPQ	RNA-Protein	Binding	Homo sapiens	NEAT1 bound to SFPQ in vivo	HeLa cell	innate immune response by IL8 gene	RIP	24507715	
NEAT1	SFPQ	RNA-Protein	Binding	Homo sapiens	SFPQ bound to NEAT1 after MG132 treatment 	HeLa cells	dictates paraspeckle size and shape	RIP	24173718	
NEAT1	FUS	RNA-Protein	Binding	Homo sapiens	Both TDP-43 and FUS/TLS bind to NEAT1_2 lncRNA	nan	nan	CLIP	23835137	
NEAT1	TARDBP	RNA-Protein	Binding	Homo sapiens	Both TDP-43 and FUS/TLS bind to NEAT1_2 lncRNA	nan	nan	CLIP	23835137	
NEAT1	NONO	RNA-Protein	Binding	Homo sapiens	mammalian DBHS proteins associate with the architectural long noncoding RNA NEAT1 (Men	nan	nan	in viro	22416126	
NEAT1	SFPQ	RNA-Protein	Binding	Homo sapiens	mammalian DBHS proteins associate with the architectural long noncoding RNA NEAT1 (Men	nan	nan	in viro	22416126	
NEAT1	PSPC1	RNA-Protein	Binding	Homo sapiens	mammalian DBHS proteins associate with the architectural long noncoding RNA NEAT1 (Men	nan	nan	in viro	22416126	
NEAT1	FUS	RNA-Protein	Binding	Homo sapiens	one of category 1B proteins (FUS) binds to both NEAT1_1 and NEAT1_2	nan	nan	knockdown;RNA immunoprecipitation	22081015	
NEAT1	NONO	RNA-Protein	Binding	Homo sapiens	In interphase cells, p54nrb localizes to the nucleoplasm and concentrates with protein partners in the paraspeckles via an interaction with the non-coding RNA Neat1	nan	nan	RNA-IP	21819346	
NEAT1	PSPC1	RNA-Protein	Binding	Homo sapiens	PSP1, an RNA-binding protein and a component of paraspeckles, also displayed a weak interaction with MALAT1 but at the same time showed a strong association with the paraspeckle-localized NEAT2	nan	nan	RNA-IP	20797886	
NEAT1	NONO	RNA-Protein	Binding	Homo sapiens	hNEAT1 accumulation colocalizes very well with both p54nrb and PSP1	nan	Knockdown of NEAT1 in HeLa cells results both inloss of paraspeckles and in enhanced nucleocytoplasmic export of mRNAs containing inverted Alu repeats.	RNA immunoprecipitation	19716791	
NEAT1	PSPC1	RNA-Protein	Binding	Homo sapiens	hNEAT1 accumulation colocalizes very well with both p54nrb and PSP1	nan	Knockdown of NEAT1 in HeLa cells results both inloss of paraspeckles and in enhanced nucleocytoplasmic export of mRNAs containing inverted Alu repeats.	RNA immunoprecipitation	19716791	
NEAT1	NONO	RNA-Protein	Binding	Homo sapiens	NEAT1 RNA binds with paraspeckle proteins.	nan	Depletion of NEAT1 RNA via RNAi eradicates paraspeckles, suggesting that it controls sequestration of the paraspeckle proteins PSP1 and p54, factors linked to A-I editing.NEAT1 overexpression increases paraspeckle number, and paraspeckles emanate exclusively from the NEAT1 transcription site.	nitrocellulose binding assays	19217333	
NEAT1	PSPC1	RNA-Protein	Binding	Homo sapiens	NEAT1 RNA binds with paraspeckle proteins.	nan	Knock-down of NEAT1 RNA leads to loss of Paraspeckles.	nitrocellulose binding assays	19217333	
Neat1	Gm12966	RNA-Protein	Binding	Mus musculus	NEAT1 Associated with SRp40	adipose	nan	RNA-IP	25437750	
Neat1	Sfpq	RNA-Protein	Binding	Mus musculus	Neat1 sequesters Sfpq in paraspeckles in luteal cells	nan	Neat1 knockout (KO) mice stochastically fail to become pregnant 	ISH and immunostaining	25359727	
Neat1	Nono	RNA-Protein	Binding	Mus musculus	NEAT1 RNA binds with paraspeckle proteins.	nan	Knock-down of NEAT1 RNA leads to loss of Paraspeckles.	nitrocellulose binding assays	19217333	
Neat1	Pspc1	RNA-Protein	Binding	Mus musculus	NEAT1 RNA binds with paraspeckle proteins.	nan	Knock-down of NEAT1 RNA leads to loss of Paraspeckles.	nitrocellulose binding assays	19217333	
Neat1	Nono	RNA-Protein	Binding	Mus musculus	paraspeckle proteins p54/nrb and PSF selectively associate with and stabilize the longer MENbeta, thereby contributing to the organization of the paraspeckle structure.	nan	nan	FISH-IF	19188602	
Neat1	Pspc1	RNA-Protein	Binding	Mus musculus	paraspeckle proteins p54/nrb and PSF selectively associate with and stabilize the longer MENbeta, thereby contributing to the organization of the paraspeckle structure.	nan	nan	FISH-IF	19188602	
Neat1	Nono	RNA-Protein	Binding	Mus musculus	Men epsilon/beta transcripts localize to paraspeckles and associate with NONO	nan	nan	Co-IP	19106332	
NPTN-IT1	ILF3	RNA-Protein	Binding	Homo sapiens	The lncRNA-LET is bound to NF90, which increases NF90 degradation by the proteasome	CRC tissue, cell lines (QSG-7701, LO2, SMMC-7721 )	downregulation of lncRNA-LET leads to hypoxia-induced cancer cell invasion.	RNA Pull-Down, RIP and ChIP-seq, RT-qPCR,  	23395002	
NRON	KPNB1	RNA-Protein	Binding	Homo sapiens	the interaction between NRON and the four proteins that showed NFAT modulatory effects	lymphoid	nan	RNA protein-binding assays	16141075	
NRON	PPP2R1A	RNA-Protein	Binding	Homo sapiens	the interaction between NRON and the four proteins that showed NFAT modulatory effects	lymphoid	nan	RNA protein-binding assays	16141075	
NRON	PSMD11	RNA-Protein	Binding	Homo sapiens	the interaction between NRON and the four proteins that showed NFAT modulatory effects	lymphoid	nan	RNA protein-binding assays	16141075	
NRON	IQGAP1	RNA-Protein	Binding	Homo sapiens	the interaction between NRON and the four proteins that showed NFAT modulatory effects	lymphoid	nan	RNA protein-binding assays	16141075	
Nron	Lrrk2	RNA-Protein	Binding	Mus musculus	Mechanistic studies showed that LRRK2 was a potent negative regulator of the transcription factor NFAT and was a component of a complex that included the large noncoding RNA NRON.	nan	nan	Immunoprecipitation-RNA	21983832	
Nron	Calm1	RNA-Protein	Binding	Mus musculus	Our data show that the role of NRON is considerably more complex: It forms part of a large cytoplasmic RNA-Protein scaffold for NFAT	nan	nan	CLIP	21709260	
Nron	Dyrk1a	RNA-Protein	Binding	Mus musculus	Our data show that the role of NRON is considerably more complex: It forms part of a large cytoplasmic RNA-Protein scaffold for NFAT	nan	nan	CLIP	21709260	
Nron	Iqgap1	RNA-Protein	Binding	Mus musculus	Our data show that the role of NRON is considerably more complex: It forms part of a large cytoplasmic RNA-Protein scaffold for NFAT	nan	nan	CLIP	21709260	
Nron	Gsk3b	RNA-Protein	Binding	Mus musculus	Our data show that the role of NRON is considerably more complex: It forms part of a large cytoplasmic RNA-Protein scaffold for NFAT	nan	nan	CLIP	21709260	
Nron	Gm12892	RNA-Protein	Binding	Mus musculus	Our data show that the role of NRON is considerably more complex: It forms part of a large cytoplasmic RNA-Protein scaffold for NFAT	nan	nan	CLIP	21709260	
NRON	LRRK2	RNA-Protein	Binding	Homo sapiens	The regulatory non-coding RNA, NRON, was also detected in association with LRRK2 by immunoprecipitation followed by RT-PCR using NRON specific primers. LRRK2 blocks the transport of NFAT to the nucleus and that LRRK2 deficiency results in enhanced susceptibility to experimental colitis in mice.	THP-1 cell	nan	ChIP, RT-qPCR 	21983832	
Oct4P4	Suv39h1	RNA-Protein	Binding	Mus musculus	Oct4P4 lncRNA abundance was found to be strongly reduced in anti-SUV39H1 RNA immunoprecipitates after RNAi-mediated reduction of endogenous Oct4P4, thus confirming the specificity of our experiments	 mouse embryonic stem cells	mouse embryonic stem cells (mESCs) self-renewal	RNA immunoprecipitates	26158551	
PAN RNA	EZH2	RNA-Protein	Binding	Kaposi sarcoma-associated herpesvirus (KSHV)	PAN RNA interacts with Polycomb repression complex proteins EZH2 and SUZ12	nan	mediate the trimethylation of H3K27	RNA cross-linking immunoprecipitation (rCLIP)	23468496	
PAN RNA	SUZ12	RNA-Protein	Binding	Kaposi sarcoma-associated herpesvirus (KSHV)	PAN RNA interacts with Polycomb repression complex proteins EZH2 and SUZ12	nan	mediate the trimethylation of H3K28	RNA cross-linking immunoprecipitation (rCLIP)	23468496	
PAN RNA	KDM6A	RNA-Protein	Binding	Kaposi sarcoma-associated herpesvirus (KSHV)	JMJD3, UTX and MLL2 interact with PAN RNA	nan	nan	RNA CLIP	22589717	
PAN RNA	KMT2D	RNA-Protein	Binding	Kaposi sarcoma-associated herpesvirus (KSHV)	JMJD3, UTX and MLL2 interact with PAN RNA	nan	nan	RNA CLIP	22589717	
PAN RNA	KDM6B	RNA-Protein	Binding	Kaposi sarcoma-associated herpesvirus (KSHV)	JMJD3, UTX and MLL2 interact with PAN RNA	nan	nan	RNA CLIP	22589717	
PAN RNA	PABPC1	RNA-Protein	Binding	Kaposi sarcoma-associated herpesvirus (KSHV)	PABPC1 binds to the 9-nt core of PAN MRE-II.	nan	nan	Integration of CLIP and RT-PCR	22043172	
PAN RNA	ORF57	RNA-Protein	Binding	Kaposi sarcoma-associated herpesvirus (KSHV)	E1B-AP5 interacts with the PAN MRE-II motif outside of the 9-nt core in the MRE-II loop.	nan	nan	Integration of CLIP and RT-PCR	22043172	
PAN RNA	PABPC1	RNA-Protein	Binding	Kaposi sarcoma-associated herpesvirus (KSHV)	PAN RNA binds to PABPC1 in the nucleus of lytically infected BCBL1 TReX-RTA cells.	nan	nan	RIP	22022268	
PAN RNA	HIST1H1B	RNA-Protein	Binding	Kaposi sarcoma-associated herpesvirus (KSHV)	PAN RNA interacts with several virus- and host cell-encoded factors, including histones H1 and H2A, mitochondrial and cellular single-stranded binding proteins (SSBPs), and interferon Regulation factor 4 (IRF4)	nan	nan	RNA ChIP	21957289	
PAN RNA	IRF4	RNA-Protein	Binding	Kaposi sarcoma-associated herpesvirus (KSHV)	PAN RNA interacts with several virus- and host cell-encoded factors, including histones H1 and H2A, mitochondrial and cellular single-stranded binding proteins (SSBPs), and interferon Regulation factor 4 (IRF4)	nan	nan	RNA ChIP	21957289	
PAN RNA	SSBP1	RNA-Protein	Binding	Kaposi sarcoma-associated herpesvirus (KSHV)	PAN RNA interacts with several virus- and host cell-encoded factors, including histones H1 and H2A, mitochondrial and cellular single-stranded binding proteins (SSBPs), and interferon Regulation factor 4 (IRF4)	nan	nan	RNA ChIP	21957289	
PAN RNA	HIST2H2AC	RNA-Protein	Binding	Kaposi sarcoma-associated herpesvirus (KSHV)	PAN RNA interacts with several virus- and host cell-encoded factors, including histones H1 and H2A, mitochondrial and cellular single-stranded binding proteins (SSBPs), and interferon Regulation factor 4 (IRF4)	nan	nan	RNA ChIP	21957289	
PAN RNA	ORF59	RNA-Protein	Binding	Kaposi sarcoma-associated herpesvirus (KSHV)	the interaction of PAN RNA with the virally encoded processivity factor ORF59	nan	nan	RNA ChIP	21957289	
PANDAR	HNRNPU	RNA-Protein	Binding	Homo sapiens	PANDA binds to SAFA and BMI1 and is critical for their interaction	proliferating cells	repress senescencepromoting/enforcing genes in proliferating cells	Co-immunoprecipitation	25406515	
PARTICL	EHMT2	RNA-Protein	Binding	Homo sapiens	PARTICLE interacts with silencing complexes G9a and PRC2	nan	an lncRNA tuner of cellular methylation following radiation exposure.	electrophoretic mobility shift	25900080	
PARTICL	SUZ12	RNA-Protein	Binding	Homo sapiens	PARTICLE interacts directly with PRC2 via the SUZ12 subunit	nan	an lncRNA tuner of cellular methylation following radiation exposure.	electrophoretic mobility shift	25900080	
PCA3	ADAR	RNA-Protein	Binding	Homo sapiens	we used quantitative RT-PCR (qRT-PCR), co-RNAFISH, and RNA-ChIP. We found that endogenous PCA3 and PRUNE2 pre-mRNAs colocalize to nuclear foci associated with ADAR proteins, which were sensitive to RNase III treatment	prostate 	human prostate cancer	RNA immunoprecipitation	26080435	
PCAT1	SUZ12	RNA-Protein	Binding	Homo sapiens	RNA immunoprecipitation (RIP) similarly showed binding ofPCAT-1to SUZ12 protein in VCaP cells	VCaP cells	nan	RNA immunoprecipitation (RIP)	21804560	
PCAT1	BRCA2	RNA-Protein	Regulation	Homo sapiens	our data directly support a role for PCAT-1 in the post-transcriptional regulation of BRCA2, PCAT-1 overexpression is able to directly repress the activity of the BRCA2 3	prostate tissue, cell lines (Du145-derived, RWPE-derived, LNCAP-derived, PC3-derived etc.)	PCAT-1 regulates cell response to genotoxic stress	microarray, qPCR, Western blot, RNAi, Luciferase reporter assay.	24473064	
Pinc	Ezh2	RNA-Protein	Binding	Mus musculus	mPINCinteracts with PRC2 in HC11 cells	nan	nan	RIP	22911650	
Pinc	Suz12	RNA-Protein	Binding	Mus musculus	mPINCinteracts with PRC2 in HC11 cells	nan	nan	RIP	22911650	
Pinc	Rbbp7	RNA-Protein	Binding	Mus musculus	mPINCinteracts with PRC2 in HC11 cells	nan	nan	RIP	22911650	
Pnky	Ptbp1	RNA-Protein	Binding	Mus musculus	Pnky localizes to the nucleus and interacts with the mRNA splicing regulator PTBP1,PTBP1 and Pnky regulate expression of key transcripts related to differentiation.	nan	Pnky knockdown increases neuronal differentiation in culture and in vivo	ISH, RNA Pulldown and Mass Spectrometry	25800779	
PNKY	PTBP1	RNA-Protein	Binding	Homo sapiens	Pnky localizes to the nucleus and interacts with the mRNA splicing regulator PTBP1,PTBP1 and Pnky regulate expression of key transcripts related to differentiation.	nan	Pnky knockdown increases neuronal differentiation in culture and in vivo	ISH, RNA Pulldown and Mass Spectrometry	25800779	
pRNA	PARP1	RNA-Protein	Binding	Dictyostelium discoideum AX4	PARP1 associates with pRNA	nan	nan	RIP	22405650	
PTENP1-AS	DNMT3A	RNA-Protein	Binding	Homo sapiens	the PTENpg1 asRNA binds and recruits the chromatin remodelers DNMT3a and EZH2 to the PTEN promoter	nan	negatively regulate the expression of PTEN	RNA immunoprecipitation (IP)	23435381	
PTENP1-AS	EZH2	RNA-Protein	Binding	Homo sapiens	the PTENpg1 asRNA binds and recruits the chromatin remodelers DNMT3a and EZH2 to the PTEN promoter	nan	negatively regulate the expression of PTEN	RNA immunoprecipitation (IP)	23435381	
Ptgs2os2	Hnrnpab	RNA-Protein	Binding	Mus musculus	hnRNP-A/B and hnRNP-A2/B1 were identified as specific binding partners for lincRNA-Cox2 in both the nuclear and cytosolic fractions via biotin pull-down assay and Mass Spectrometry, later confirmed by Western blot analysis.	dendritic cells; macrophages	nan	in vitro	23907535	
Ptgs2os2	Hnrnpa2b1	RNA-Protein	Binding	Mus musculus	hnRNP-A/B and hnRNP-A2/B1 were identified as specific binding partners for lincRNA-Cox2 in both the nuclear and cytosolic fractions via biotin pull-down assay and Mass Spectrometry, later confirmed by Western blot analysis.	dendritic cells; macrophages	nan	in vitro	23907535	
PVT1	EZH2	RNA-Protein	Binding	Homo sapiens	PVT1 was associated with enhancer of zeste homolog 2 (EZH2) and that this association was required for the repression of p15 and p16. 	gastric carcinogenesis	nan	RIP	25890171	
PVT1	NOP2	RNA-Protein	Binding	Homo sapiens	LncRNA-hPVT1 binds to NOP2 nucleolar protein	hepatocellular carcinoma	promotes cell proliferation, cell cycling, and the acquisition of stem cell-like properties	RIP	25043274	
RASSF1-AS1	SUZ12	RNA-Protein	Binding	Homo sapiens	ANRASSF1 mediates recruitment of SUZ12 to the RASSF1A promoter. endogenous ANRASSF1 was enriched in the anti-EZH2 RNA-IP fraction relative to the input compared with the IgG fraction. PRC2 is specifically directed by ANRASSF1 lncRNA to the RASSF1A promoter.	non-tumor and tumor cell lines	increases the proliferation of HeLa cells	RACE-PCR, qRT-PCR, Western blotting, RIP, ChIP	23990798	
RASSF1-AS1	EZH2	RNA-Protein	Binding	Homo sapiens	ANRASSF1 mediates recruitment of SUZ12 to the RASSF1A promoter. endogenous ANRASSF1 was enriched in the anti-EZH2 RNA-IP fraction relative to the input compared with the IgG fraction. PRC2 is specifically directed by ANRASSF1 lncRNA to the RASSF1A promoter.	non-tumor and tumor cell lines	increases the proliferation of HeLa cells	RACE-PCR, qRT-PCR, Western blotting, RIP, ChIP	23990798	
RMST	HNRNPA2B1	RNA-Protein	Binding	Homo sapiens	RMST associates with RNA-binding protein hnRNPA2/B1 and transcription factor SOX2	nan	nan	RIP	23932716	
RN7SK	CASP3	RNA-Protein	Regulation	Homo sapiens	a significant increase in caspase 3 activity in cells transduced with virus particles containing 7SK snRNA	nan	7SK snRNA over-expression promoted apoptosis 	Over-expression	25492483	
RN7SK	LARP7	RNA-Protein	Binding	Homo sapiens	LARP7 negatively regulates positive transcription elongation factor-b (p-TEFb) by binding to and stabilizing 7sk RNA.	gastric epithelial cells	nan	in vitro	22488152	
RN7SK	CDK9	RNA-Protein	Binding	Homo sapiens	Together with the HEXIM proteins, 7SK RNA associates with and sequesters a fraction of cellular P-TEFb into a catalytically inactive complex.	nan	nan	in vitro	22377309	
RN7SK	SRRT	RNA-Protein	Regulation	Homo sapiens	Ars2 physically associated with histone mRNAs and the non-coding RNA 7SK.	nan	nan	RNA immunoprecipitation	22244333	
RN7SK	CDK9	RNA-Protein	Binding	Homo sapiens	We provide evidence for 7SK RNA complexes containing simultaneously HMGA1 and P-TEFb.	nan	nan	RNA immunoprecipitation	21957495	
RN7SK	CDK9	RNA-Protein	Binding	Homo sapiens	CDK9 is associated with 7SK RNA	nan	nan	nan	21098020	
RN7SK	ATAT1	RNA-Protein	Binding	Homo sapiens	HIV-1 Tat binds with high specificity and efficiency to an evolutionarily highly conserved stem-bulge-stem motif of the 5'-hairpin of human 7SK snRNA.	nan	nan	RIP	20976203	
RN7SK	CDK9	RNA-Protein	Binding	Homo sapiens	7SK snRNP binding to P-TEFb	nan	nan	in vitro	20926576	
RN7SK	HEXIM1	RNA-Protein	Binding	Homo sapiens	HEXIM1 targets a repeated GAUC motif in the riboregulator of transcription 7SK and promotes base pair rearrangements.	nan	nan	EMSA	20675720	
RN7SK	ATAT1	RNA-Protein	Binding	Homo sapiens	Tat remodels 7SK snRNP by interacting directly with 7SK RNA	nan	nan	in vitro	20471949	
RN7SK	HEXIM1	RNA-Protein	Binding	Homo sapiens	The Hexim1 binding site is located in the 24-87 region of 7SK RNA and that the protein residues outside the basic domain of Hexim1 are involved in specific RNA interactions.	nan	nan	EMSA	19244621	
RN7SK	LARP7	RNA-Protein	Binding	Homo sapiens	LARP7 associates with 7SK RNA	nan	nan	immunoprecipitated RNA	18483487	
RN7SK	PPP1CA	RNA-Protein	Regulation	Homo sapiens	PP2B and PP1alpha cooperatively disrupt 7SK snRNP to release P-TEFb for transcription in response to Ca2+ signaling.	nan	nan	in vitro	18483222	
RN7SK	LARP7	RNA-Protein	Binding	Homo sapiens	Immunoprecipitation of LARP7 confirms that it is a stable component of the 7SK snRNP	nan	nan	in vitro	18281698	
RN7SK	LARP7	RNA-Protein	Binding	Homo sapiens	PIP7S binds and stabilizes nearly all the nuclear 7SK via 3'-UUU-OH, leading to the sequestration and inactivation of P-TEFb.	nan	nan	RIP	18249148	
RN7SK	MEPCE	RNA-Protein	Regulation	Homo sapiens	BCDIN3 is the 7SK snRNA methylphosphate capping enzyme (MePCE) present in an snRNP complex containing both RNA processing and transcription factors, including the elongation factor P-TEFb.	nan	nan	in vitro	17643375	
RN7SK	HEXIM1	RNA-Protein	Binding	Homo sapiens	7SK RNA binding to a HEXIM1 multimer promotes the simultaneous recruitment and hence inactivation of multiple P-TEFb units.	nan	nan	In vitro	15994294	
RN7SK	HEXIM1	RNA-Protein	Binding	Homo sapiens	HEXIM1 binds 7SK snRNA directly and a 7SK snRNA-recognition motif was identified in the central part of HEXIM1	nan	nan	EMSA	15201869	
RN7SK	CDK9	RNA-Protein	Binding	Homo sapiens	CDK9 associates with the 7SK snRNA.	nan	nan	RIP	11713532	
RN7SK	SSB	RNA-Protein	Binding	Homo sapiens	7SK associates with the La antigen appeared to be cell-type specific.	nan	nan	RIP	6194154	
RN7SL1	APOBEC3F	RNA-Protein	Binding	Homo sapiens	A3F selectively interacts with 7SL RNA	nan	nan	RNA immunoprecipitation (RIP)	18067920	
RN7SL1	SRP19	RNA-Protein	Binding	Homo sapiens	The binding of SRP54 to the S domain of 7SL RNA is highly dependent on SRP19.	nan	nan	in vitro	12244299	
RN7SL1	SRP54	RNA-Protein	Binding	Homo sapiens	The binding of SRP54 to the S domain of 7SL RNA is highly dependent on SRP19.	nan	nan	in vitro	12244299	
RN7SL1	SRP14	RNA-Protein	Binding	Homo sapiens	Human SRP14 and SRP9 polypeptides together form the RNA binding activity  described as Alu RBP, then the aluRBP binds to the Alu-homologous region of 7SL RNA.	nan	nan	EMSA-RNA	7730321	
RN7SL1	SRP9	RNA-Protein	Binding	Homo sapiens	Human SRP14 and SRP9 polypeptides together form the RNA binding activity  described as Alu RBP, then the aluRBP binds to the Alu-homologous region of 7SL RNA.	nan	nan	EMSA-RNA	7730321	
RN7SL1	SRP14	RNA-Protein	Binding	Homo sapiens	Alu RNAs are bound to SRP9/14	nan	nan	In Vitro RNA-binding	7542942	
RN7SL1	SRP9	RNA-Protein	Binding	Homo sapiens	Alu RNAs are bound to SRP9/14	nan	nan	In Vitro RNA-binding	7542942	
RN7SL1	SRP19	RNA-Protein	Binding	Homo sapiens	SRP19 synthesized in a cell-free system specifically bound to 7SL RNA.	nan	nan	RNA binding assay	2460823	
RN7SL1	SRP54	RNA-Protein	Binding	Homo sapiens	SRP54 may be linked to the rest of SRP through this domain by a direct interaction with 7SL RNA.	nan	nan	RNA binding assay	1702385	
Rncr4	Ddx3x	RNA-Protein	Regulation	Mus musculus	Rncr4 as an RNA associated with Ddx3x	retina architecture	nan	RNA immunoprecipitation assays	26041499	
rncs-1	dcr-1	RNA-Protein	Binding	Caenorhabditis elegans	C. elegans highly double-stranded lncRNA rncs-1 is densely bound, but not ef閾夸恭iently cleaved by DCR-1	nan	nan	PAR-CLIP andin vivo	25416952	
rncs-1	dcr-1	RNA-Protein	Binding	Caenorhabditis elegans	rncs-1 can bind RDE-4 in vitro	nan	Inhibition of Dicer-mediated repression	in vitro	18723671	
RNY1	HNRNPK	RNA-Protein	Binding	Homo sapiens	both hnRNP I and hnRNP K bind to hY1 RNA directly	nan	nan	in vitro hY RNA-binding assay	12096904	
RNY1	NCL	RNA-Protein	Binding	Homo sapiens	Nucleolin binds to the hY1 and hY3 RNPs both in vivo and in vitro.	nan	nan	in vitro hY RNA-binding assay	12096904	
RNY1	PTBP1	RNA-Protein	Binding	Homo sapiens	both hnRNP I and hnRNP K bind to hY1 RNA directly	nan	nan	in vitro hY RNA-binding assay	12096904	
