lncrna	Interacting partner	Interaction Class	Interaction Mode	Organism	Description	Tissue	Phenotype	Method	Pubmed id
MALAT1	TP53	RNA-TF	Regulation	Homo sapiens	p53 is a major downstream mediator of MALAT1 activity	NULL	mitosis regulation	RNA-IP	23555285
MALAT1	MIR205	RNA-RNA	Binding	Homo sapiens	Long Noncoding RNA MALAT1 Promotes Aggressive Renal Cell Carcinoma through Ezh2 and Interacts with miR-205.	NULL	overexpression of MALAT1 confers an oncogenic function	RIP and ChIP assay 	25600645
MALAT1	MIR9-1	RNA-RNA	Binding	Homo sapiens	Direct binding between miR-9 and MALAT1 in vivo	NULL	absent of obvious phenotype(data suggest that deregulation of its expression contributes to cancer development and/or progression)	in vivo	23985560
MALAT1	HNRNPC	RNA-Protein	Binding	Homo sapiens	RNA pull down showing that HNRNPC preferably binds methylated RNA(MALAT1).	NULL	Our work indicates widespread m6A-induced mRNA and lncRNA structural remodelling that affects RNA-Protein interactions for biological regulation.	PAR-CLIP and eRIP	25719671
MALAT1	EZH2	RNA-Protein	Binding	Homo sapiens	Our RIP results also showed that MALAT1 interacts with Ezh2 in renal cancer cell lines	renal	NULL	RIP assay 	25600645
MALAT1	SFPQ	RNA-Protein	Binding	Homo sapiens	with downregulation of MALAT-1 RNA level, the MALAT-1 binding to SFPQ decreased,	NULL	NULL	IP  assay	25592968
MALAT1	HNRNPD	RNA-Protein	Binding	Homo sapiens	we confirmed the interaction of AUF1 with NEAT1 and MALAT1 by RIP analysis and by in vitro binding assays	HeLa (human cervical carcinoma) cells	NULL	RIP	25366541
MALAT1	SRSF1	RNA-Protein	Binding	Homo sapiens	SRSF1 inhibits YAP transcriptional activity and prevents YAP recruitment on the Malat1 promoter	NULL	Malat1 is suppressed	RNA Immunoprecipitation	24468535
MALAT1	YAP1	RNA-Protein	Regulation	Homo sapiens	YAP interacts with TCF4/-catenin to regulate Malat1 transcription	NULL	Malat1 is overexpressed	RNA Immunoprecipitation	24468535
MALAT1	HNRNPC	RNA-Protein	Binding	Homo sapiens	MALAT-1 interacts with hnRNP C in cell cycle regulation	NULL	malat1 interacted with hnRNP C and facilitated its cytoplasmic translocation in the G2/M phase, thereby regulating the progress of the cell cycle.	RNA Immunoprecipitation	23973260
MALAT1	OASL	RNA-Protein	Binding	Homo sapiens	The pre-mRNA levels of OASL and IFI44 were reduced, while that of SPINK4 was unaltered between control cells and MALAT-1 silenced cells, suggesting that MALAT-1 can influence gene expression at distinct steps	NULL	NULL	in vitro	22355166
MALAT1	AQR	RNA-Protein	Regulation	Homo sapiens	RNAi-mediated repression of the nuclear speckle proteins, RNPS1, SRm160, or IBP160, which are well-known mRNA processing factors, resulted in the diffusion of MALAT-3 to the nucleoplasm.	NULL	NULL	in vitro	22355166
MALAT1	SRRM1	RNA-Protein	Regulation	Homo sapiens	RNAi-mediated repression of the nuclear speckle proteins, RNPS1, SRm160, or IBP160, which are well-known mRNA processing factors, resulted in the diffusion of MALAT-2 to the nucleoplasm.	NULL	NULL	in vitro	22355166
MALAT1	IFI44	RNA-Protein	Binding	Homo sapiens	The pre-mRNA levels of OASL and IFI44 were reduced, while that of SPINK4 was unaltered between control cells and MALAT-1 silenced cells, suggesting that MALAT-2 can influence gene expression at distinct steps	NULL	NULL	in vitro	22355166
MALAT1	RNPS1	RNA-Protein	Regulation	Homo sapiens	RNAi-mediated repression of the nuclear speckle proteins, RNPS1, SRm160, or IBP160, which are well-known mRNA processing factors, resulted in the diffusion of MALAT-1 to the nucleoplasm.	NULL	NULL	in vitro	22355166
MALAT1	PKD2	RNA-Protein	Binding	Homo sapiens	This movement is the consequence of binding of methylated and unmethy- lated Pc2 to the ncRNAs TUG1 and MALAT1/NEAT2, located in PcGs and ICGs, respectively.	lung	achieving coordinated gene expression programs	CLIP	22078878
MALAT1	SRSF1	RNA-Protein	Binding	Homo sapiens	RNA-IP followed by RT-PCR in extracts from HeLa cells transiently expressing T7-tagged SR proteins (SRSF1, SRSF2 [SC35], SRSF3 [SRp20], SRSF5 [SRp40]) revealed interaction between MALAT1 and SRSF1, SRSF2, and SRSF3	NULL	NULL	RNA-IP	20797886
MALAT1	SRSF2	RNA-Protein	Binding	Homo sapiens	RNA-IP followed by RT-PCR in extracts from HeLa cells transiently expressing T7-tagged SR proteins (SRSF1, SRSF2 [SC35], SRSF3 [SRp20], SRSF5 [SRp40]) revealed interaction between MALAT1 and SRSF1, SRSF2, and SRSF3	NULL	NULL	RNA-IP	20797886
MALAT1	SRSF3	RNA-Protein	Binding	Homo sapiens	RNA-IP followed by RT-PCR in extracts from HeLa cells transiently expressing T7-tagged SR proteins (SRSF1, SRSF2 [SC35], SRSF3 [SRp20], SRSF5 [SRp40]) revealed interaction between MALAT1 and SRSF1, SRSF2, and SRSF3	NULL	NULL	RNA-IP	20797886
MALAT1	SRSF5	RNA-Protein	Binding	Homo sapiens	SRSF5, which has a domain organization similar to that of SRSF1, consisting of two N-terminal RNA recognition motifs (RRMs) and a C-terminal RS domain, showed weak association with MALAT1 compared to other SR proteins tested (Figure	NULL	NULL	RNA-IP	20797886
MALAT1	SNCG	RNA-Protein	Binding	Homo sapiens	MALAT1 interacts with SR proteins and influences the distribution of these and other splicing factors in nuclear speckle domains.	NULL	NULL	RNA-IP	20797886
MALAT1	PRPF6	RNA-Protein	Binding	Homo sapiens	RNA-IP in nuclear extracts from cells that were transfected with T7-PRP6 cDNA followed by RT-PCR using MALAT1-specific primers confirmed an interaction between MALAT1 and PRP6	NULL	NULL	RNA-IP	20797886
MALAT1	PSPC1	RNA-Protein	Binding	Homo sapiens	PSP1, an RNA-binding protein and a component of paraspeckles, also displayed a weak interaction with MALAT1 but at the same time showed a strong association with the paraspeckle-localized NEAT1	NULL	NULL	RNA-IP	20797886
MALAT1	SRSF1	RNA-Protein	Binding	Homo sapiens	the ncRNAs represented in the SFRS1 CLIP-seq data are 23 snoRNAs, three microRNA precursors, and the 5.8S rRNA, XIST and MALAT1 RNAs.	NULL	NULL	CLIP-seq	19116412
MALAT1	LTBP3	RNA-DNA	Regulation	Homo sapiens	lncRNA MALAT1 directly interacted with Sp1 and LTBP3 promoter to increase expression of LTBP3 gene	mesenchymal stem cells from multiple myeloma	NULL	RNA immunoprecipitation	25187517
MALAT1	SP1	RNA-DNA	Binding	Homo sapiens	lncRNA MALAT1 directly interacted with Sp1 and LTBP3 promoter to increase expression of LTBP3 gene	mesenchymal stem cells from multiple myeloma	NULL	RNA immunoprecipitation	25187517
MALAT1	FOS	DNA-TF	Binding	Homo sapiens	c-Fos directly binds to lncRNA MALAT1 in 786-O cells, suggesting that c-Fos regulates MALAT1 expression	NULL	NULL	CHIP 	25600645
MALAT1	CREB1	DNA-TF	Binding	Homo sapiens	We investigated binding of the cyclic AMP-responsive element binding (CREB) transcription factor to the MALAT1 promoter by using chromatin immunoprecipitation (ChIP) followed by tiling array analysis, and the results were confirmed using ChIP-qPCR	neuroblastoma	NULL	Chip	20149803
MALAT1	MIR101-1	RNA-RNA	Regulation	Homo sapiens	In this study we provide first evidences that a posttranscriptional regulation mechanism of MALAT1 by miR-101 and miR-217 exists in ESCC cells.	esophageal squamous cell carcinoma (ESCC)	suppress the proliferation of ESCC cells	in vitro or vivo	25538231
MALAT1	MIR101-2	RNA-RNA	Regulation	Homo sapiens	In this study we provide first evidences that a posttranscriptional regulation mechanism of MALAT1 by miR-101 and miR-217 exists in ESCC cells.	esophageal squamous cell carcinoma (ESCC)	suppress the proliferation of ESCC cells	in vitro or vivo	25538231
MALAT1	MIR217	RNA-RNA	Regulation	Homo sapiens	In this study we provide first evidences that a posttranscriptional regulation mechanism of MALAT1 by miR-101 and miR-217 exists in ESCC cells.	esophageal squamous cell carcinoma (ESCC)	suppress the proliferation of ESCC cells	in vitro or vivo	25538231
Malat1	Yap1	RNA-Protein	Regulation	Mus musculus	YAP interacts with TCF4/-catenin to regulate Malat1 transcription	NULL	Malat1 is overexpressed	RNA Immunoprecipitation	24468535
Malat1	Srsf1	RNA-Protein	Regulation	Mus musculus	SRSF1 inhibits YAP transcriptional activity and prevents YAP recruitment on the Malat1 promoter	NULL	Malat1 is suppressed	RNA Immunoprecipitation	24468535
Malat1	Hnrnpc	RNA-Protein	Binding	Mus musculus	MALAT-1 interacts with hnRNP C in cell cycle regulation	NULL	malat1 interacted with hnRNP C and facilitated its cytoplasmic translocation in the G2/M phase, thereby regulating the progress of the cell cycle.	RNA Immunoprecipitation	23973260
Malat1	Mir133a-1	RNA-RNA	Binding	Mus musculus	Malat1 modulates Srf through miR-133 as a competing endogenous RNA and established a novel connection among Malat1, miR-133, and Srf in myoblast differentiation.	muscle		RNA pull-down assay	25868726
MALAT1	SUZ12	RNA-Protein	Binding	Homo sapiens	malat1 represses E-cadherin (E-cad) expression by associating with suz12	bladder cancer tissue, cell lines (T24, RT4)	TGF-b-induced malat1 promotes EMT and subsequent bladder cancer metastasis by associating with suz12	qPCR, Western blot, Luciferase reporter assay, RNAi, RIP etc.	24449823
MALAT1	MIR145	RNA-RNA	Binding	Homo sapiens	By performing RNA-binding protein immunoprecipitation (RIP) assay and RNA pull-down assay, we confirmed that miR-145 and MALAT1 were in the same Ago2 complex and there was a reciprocal repression between them	Cervical 	cervical cancer	immunoprecipitation (RIP) assay and RNA pull-down assay	26311052
MALAT1	MIR1-1	RNA-RNA	Binding	Homo sapiens	MiR-1 functioned as a tumor suppressor by targeting K-RAS and MALAT1	breast	breast cancer	luciferase reporter	26275461
MALAT1	AGO2	RNA-Protein	Binding	Homo sapiens	By performing RNA-binding protein immunoprecipitation (RIP) assay and RNA pull-down assay, we confirmed that miR-145 and MALAT1 were in the same Ago2 complex and there was a reciprocal repression between them	Cervical 	cervical cancer	immunoprecipitation (RIP) assay and RNA pull-down assay	26311052
MALAT1	TP53	DNA-TF	Binding	Homo sapiens	 Interestingly, we found two p53 binding motifs with help of bioinformatic tools, and the following chromatin immunoprecipitation (ChIP) test conformed that p53 acts as a transcription repressor that binds to Malat1's promoter	hematopoietic cells	-	ChIP	26335021
MCM3AP-AS1	MYC	DNA-TF	Binding	Homo sapiens	presence of a MYC binding ChIP-seq peak proximal (+/- 0.9kb) to the lncRNA TSS.	NULL	NULL	ChIP-seq	25587025
MEG3	JARID2	RNA-TF	Binding	Homo sapiens	ARID2 and EZH2 bind to lncRNAs in vivo, including Meg3	foreskin fibroblasts	stimulate JARID2-EZH2 interactions	PAR-CLIP	24374312
MEG3	TP53	RNA-TF	Regulation	Homo sapiens	MEG3 RNA stabilizes p53 by direct interaction with the protein and renders the p53 preferential binding to the GDF15 promoter over the p21CIP1promoter.	NULL	NULL	ChIP	17569660
MEG3	EZH2	RNA-Protein	Binding	Homo sapiens	ARID2 and EZH2 bind to lncRNAs in vivo, including Meg3	foreskin fibroblasts	stimulate JARID2-EZH2 interactions	PAR-CLIP	24374312
MEG3	MET	RNA-DNA	Regulation	Homo sapiens	a tumor-suppressor long noncoding RNA (MEG3) and suppressed protooncogene (c-MET) combination could elicit menin's tumor-suppressor activity.	insulinoma beta-cells	NULL	in vitro	25565142
MEG3	ATF4	DNA-TF	Binding	Homo sapiens	CREB-1 and CREB-2 directly bind to CRE to in the MEG4 promoter region in a methylation-sensitive manner	pituitary	inhibit cell growth and proliferation	ChIP	16793321
MEG3	CREB1	DNA-TF	Binding	Homo sapiens	CREB-1 and CREB-2 directly bind to CRE to in the MEG3 promoter region in a methylation-sensitive manner	pituitary	inhibit cell growth and proliferation	ChIP	16793321
MEG3	RAC1	RNA-Protein	Regulation	Homo sapiens	Rac1 was negatively regulated by lncRNA-MEG3 at the posttranscriptional level, via aspecific target site within the 3UTR by dual luciferase reporter assay	papillary thyroid carcinoma (PTC) tissues	inhibit the cell migration and invasion	dual luciferase reporter assay	25997963
MEG3	BMP4	RNA-Protein	Regulation	Homo sapiens	Upregulation of lncRNA MEG3 Promotes Osteogenic Differentiation of Mesenchymal Stem Cells From Multiple Myeloma Patients By Targeting BMP4 Transcription.	bone		RNA immunoprecipitation	25753650
MEG3	SOX2	RNA-TF	Regulation	Homo sapiens	MEG3 activated transcriptional activity by directly influencing SOX2 activity	bone		in vitro and vivo	25753650
Meg3	Ezh2	RNA-Protein	Binding	Mus musculus	Gtl2 RNA - most likely its proximal 1 kb - directly and specifically binds PRC2	NULL	bind to the PRC2-chromatin- modifying complex in mESCs.	RIP-seq	21172659
Meg3	Met	RNA-DNA	Regulation	Mus musculus	a tumor-suppressor long noncoding RNA (MEG3) and suppressed protooncogene (c-MET) combination could elicit menin's tumor-suppressor activity.	insulinoma beta-cells	NULL	in vitro	25565142
Meg3	Ctcf	DNA-TF	Binding	Mus musculus	In the current study, CTCF was detected at DMR region 9 in ES cells, but was not detected at any region in e12.5 embryos	ES;embryo	NULL	chip	22709555
Meg3	Mbd1	DNA-TF	Binding	Mus musculus	MBD1 and MBD3 were not present at any region of the Meg3 DMR in ES cells , while in e12.5 embryos MBD3 was detected at region 8 and MBD1 was detected at region 3.	ES;embryo	NULL	chip	22709555
Meg3	Mbd3	DNA-TF	Binding	Mus musculus	MBD1 and MBD3 were not present at any region of the Meg3 DMR in ES cells , while in e12.5 embryos MBD3 was detected at region 8 and MBD1 was detected at region 4.	ES;embryo	NULL	chip	22709555
Meg3	Mecp2	DNA-TF	Binding	Mus musculus	MECP2 localized approximately 700 base pairs downstream of the Meg3 DMR region.	ES;embryo	NULL	chip	22709555
Meg3	Yy1	DNA-TF	Binding	Mus musculus	The current analysis showed that EED was not present at the Meg3 DMR in ES cells, while YY1 was present at regions 3, 4, and 6 . In e12.5 embryos, EED was not detected at any Meg3 DMR region, and YY1 was present at all nine DMR regions.	ES;embryo	NULL	chip	22709555
Meg3	Zbtb33	DNA-Protein	Binding	Mus musculus	Kaiso(Zbtb33) has not yet been found at any imprinted domains, but we detected it binding to Meg3 DMR region 4 in ES cells.	ES;embryo	NULL	chip	22709555
MEG3	ILF3	RNA-Protein	Binding	Homo sapiens	Mass spectrometry and gene ontology (GO) analysis showed that MEG3 binding proteins possess nucleotide binding properties and take part in transport, translation, and other biological processes. In addition, interleukin enhancer binding factor 3 (ILF3) and poly(A) binding protein, cytoplasmic 3 (PABPC3) were validated for their interaction with MEG3	-	-	MTRAP-MS	26155902
MEG3	PABPC3	RNA-Protein	Binding	Homo sapiens	Mass spectrometry and gene ontology (GO) analysis showed that MEG3 binding proteins possess nucleotide binding properties and take part in transport, translation, and other biological processes. In addition, interleukin enhancer binding factor 3 (ILF3) and poly(A) binding protein, cytoplasmic 3 (PABPC3) were validated for their interaction with MEG3	-	-	MTRAP-MS	26155902
MEG3	MIR181A1	RNA-RNA	Binding	Homo sapiens	miR-181a could bind to MEG3 and MEG3 could function as a ceRNA in GC cells	gastric	gastric cancer progression	RNA immunoprecipitation	26253106
MESTIT1	MEST	RNA-RNA	Regulation	Homo sapiens	MESTIT1 is a paternally expressed non-coding RNA that may be involved in the regulation of MEST expression during development.	NULL	NULL	in vivo	12095916
Mhrt	Smarca4	RNA-Protein	Binding	Mus musculus	Mhrt can directly interact with the helicase domain of Brg1 to regulate its occupancy and activity,suggesting that Mhrt may function as a decoy for the chromatin remodeler to prevent its occupancy on target gene promoters.	heart	prevent chromatin remodelling	RNA immunoprecipitation	25119045
MIAT	SRSF1	RNA-Protein	Binding	Homo sapiens	Gomafu binds directly to the splicing factors QKI and SRSF1	NULL	NULL	NULL	23628989
MIAT	QKI	RNA-Protein	Binding	Homo sapiens	Gomafu binds directly to the splicing factors QKI and SRSF1	NULL	NULL	NULL	23628989
MIAT	SF1	RNA-Protein	Binding	Homo sapiens	Gomafu RNA binds directly to SF1 in vivo	NULL	NULL	In vivo co-immunoprecipitation	21463453
Miat	Bmi1	RNA-Protein	Binding	Mus musculus	RNA immunoprecipitation using an antibody specific to BMI1 revealed an interaction with Gomafu lncRNA. 	NULL	NULL	RIP and ChIP assays	25792222
Miat	Qk	RNA-Protein	Binding	Mus musculus	Gomafu binds directly to the splicing factors QKI and SRSF1	NULL	NULL	NULL	23628989
Miat	Srsf1	RNA-Protein	Binding	Mus musculus	Gomafu binds directly to the splicing factors QKI and SRSF1	NULL	NULL	NULL	23628989
Miat	Sf1	RNA-Protein	Binding	Mus musculus	Gomafu RNA binds directly to SF1 in vivo	NULL	NULL	In vivo co-immunoprecipitation	21463453
Miat	Crybb1	RNA-DNA	Regulation	Mus musculus	Gomafu maintains the PRC1 at the promoter of Crybb1, which serves to repress its expression. 	NULL	NULL	RIP and ChIP assays	25792222
Miat	Pou5f1	DNA-TF	Binding	Mus musculus	Only two Oct4 and two Nanog targets fit these stringent criteria, namely AK005651, AK028326 (Gomafu; synonym: Miat), AK043754, and AK141205	mESC	NULL	ChIP	20026622
MIR17HG	MYC	DNA-TF	Binding	Homo sapiens	presence of a MYC binding ChIP-seq peak proximal (+/- 0.6kb) to the lncRNA TSS.	NULL	NULL	ChIP-seq	25587025
MIR222HG	Mir222	DNA-DNA	Regulation	Mus musculus	This suggests that the miR-221 and miR-222 are co-transcribed with Lnc-Ang362, the host transcript from which these miRNAs are excised, and that the transcription initiation site to produce the two miRNAs is further upstream.Lnc-Ang362 is required for the expression of two microRNAs known to be involved in cell proliferation induced by Ang II.	Rat Vascular Smooth Muscle Cells	Knockdown of Lnc-Ang362 decreases expression of miR-221 and miR-222 and reduces cell proliferation	qRT-PCR, RNAi and ChIP-seq 	23697773
MIR222HG	Mir221	DNA-DNA	Regulation	Mus musculus	This suggests that the miR-221 and miR-222 are co-transcribed with Lnc-Ang362, the host transcript from which these miRNAs are excised, and that the transcription initiation site to produce the two miRNAs is further upstream.Lnc-Ang362 is required for the expression of two microRNAs known to be involved in cell proliferation induced by Ang II.	Rat Vascular Smooth Muscle Cells	Knockdown of Lnc-Ang362 decreases expression of miR-221 and miR-222 and reduces cell proliferation	qRT-PCR, RNAi and ChIP-seq 	23697773
MIR31HG	EZH2	RNA-Protein	Binding	Homo sapiens	MIR31HGis able to interact directly with PRC2	Oncogene-induced senescence	induces a senescence phenotype	RNA electrophoretic mobility shift assays	25908244
MIR31HG	SUZ12	RNA-Protein	Binding	Homo sapiens	MIR31HGis able to interact directly with PRC2	Oncogene-induced senescence	induces a senescence phenotype	RNA electrophoretic mobility shift assays	25908244
MIR31HG	CDKN2A	RNA-DNA	Binding	Homo sapiens	MIR31HGinteracts with theINK4AandMIR31HGloci	Oncogene-induced senescence	induces a senescence phenotype	ChIRP	25908244
MRLN	ATP2A1	RNA-Protein	Binding	Homo sapiens	MLN interacts directly with SERCA and impedes Ca2+ uptake into the SR.	NULL	Myoregulin regulates Ca2+ handling by inhibiting the pump activity of SERCA	coIP	25640239
Mrln	Atp2a1	RNA-Protein	Binding	Mus musculus	MLN interacts directly with SERCA and impedes Ca2+ uptake into the SR.	NULL	Myoregulin regulates Ca2+ handling by inhibiting the pump activity of SERCA	coIP	25640239
Msx1 AS RNA	Msx1	RNA-RNA	Regulation	Mus musculus	In vitro, Msx1 AS RNA decreased endogenous Msx1 S expression and modified Msx1 protein cell distribution.Msx1 AS RNA could also modulate Msx1 function.	NULL	NULL	in vitro	18728357
MYCLo-1	ELAVL1	RNA-Protein	Binding	Homo sapiens	MYCLo-1 is abundant in RIP samples using HuR antibodies 	NULL	NULL	RIP and RNA pull-down	25663692
MYCLo-1	CDKN1A	RNA-DNA	Regulation	Homo sapiens	knockdown of MYCLo-1 or -2 also induced the promoter activities of CDKN1A and/or CDKN2B	NULL	NULL	Luciferase reporter assays 	25663692
MYCLo-1	CDKN2B	RNA-DNA	Regulation	Homo sapiens	knockdown of MYCLo-1 or -2 also induced the promoter activities of CDKN1A and/or CDKN2B	NULL	NULL	Luciferase reporter assays 	25663692
MYCLo-1	MYC	DNA-TF	Binding	Homo sapiens	Luciferase assays showing MYC-dependent regulation of 5'  promoter activities of MYCLo-1 (L), -2 (M), and -3 (N).  suggesting that the MYC-induced MYCLos are directly regulated by the transcription enhancer MYC at the transcription level.	CRC tissues	NULL	ChIP	25663692
MYCLo-4	GADD45A	RNA-DNA	Regulation	Homo sapiens	screening cell cycle-related genes regulated by MYC and the MYC-repressed MYCLos, we identified the MYC-repressed gene GADD45A as a target gene of the MYC-repressed MYCLos such as MYCLo-4 and MYCLo-6.	lung	prohibit MYC-enhanced cell proliferation through cell cycle regulation	in vitro and vivo	26003165
MYCNOS	GSK3B	RNA-Protein	Regulation	Homo sapiens	NCYM inhibits GSK3	human neuroblastoma tissue	NULL	qPCR, Western blot 	24391509
MYCNOS	MYCN	DNA-TF	Binding	Homo sapiens	NCYM inhibits GSK3	human neuroblastoma tissue	NULL	qPCR, Western blot 	24391509
MYCNOS	G3BP1	RNA-Protein	Binding	Homo sapiens	IP of the MYCNOS associated proteins, MAP4, CIP29, G3BP1 and FKBP were immunoprecipitated and probed by qRTPCR for MYCNOS with MYCNOS specific primers sets 3 and 10	-	human neuroblastoma	IP;LC-MS	26156430
MYCNOS	MAP4	RNA-Protein	Binding	Homo sapiens	IP of the MYCNOS associated proteins, MAP4, CIP29, G3BP1 and FKBP were immunoprecipitated and probed by qRTPCR for MYCNOS with MYCNOS specific primers sets 3 and 10	-	human neuroblastoma	IP;LC-MS	26156430
MYCNOS	SARNP	RNA-Protein	Binding	Homo sapiens	IP of the MYCNOS associated proteins, MAP4, CIP29, G3BP1 and FKBP were immunoprecipitated and probed by qRTPCR for MYCNOS with MYCNOS specific primers sets 3 and 10	-	human neuroblastoma	IP;LC-MS	26156430
MYCNOS	FKBP5	RNA-Protein	Binding	Homo sapiens	IP of the MYCNOS associated proteins, MAP4, CIP29, G3BP1 and FKBP were immunoprecipitated and probed by qRTPCR for MYCNOS with MYCNOS specific primers sets 3 and 10	-	human neuroblastoma	IP;LC-MS	26156430
MYCNOS	MYCN	RNA-DNA	Binding	Homo sapiens	MYCNOS RNA localizes to the MYCN promoters and modulates MYCN expression	-	human neuroblastoma	ChIP-deep seq	26156430
NCRUPAR	F2R	RNA-DNA	Regulation	Homo sapiens	The ncR-uPAR upregulated PAR-1-core promoter-driven luciferase activity and mRNA expression in vitro in a Pol II-dependent manner.	NULL	NULL	RNA gel shift	12084570
Nctc1	Polr2a	RNA-Protein	Binding	Mus musculus	RNAP II association with Nctc1 inversely correlates with H19 transcriptional activation	NULL	Nctc1 imprinting	in viro	23221643
Nctc1	H19	DNA-DNA	Regulation	Mus musculus	Nctc1is co-regulated with Igf2 and H19 and physically interacts with the shared muscle enhancer.	muscle	Nctc1 imprinting	ChIP	23221643
Nctc1	Igf2	DNA-DNA	Regulation	Mus musculus	Nctc1is co-regulated with Igf2 and H19 and physically interacts with the shared muscle enhancer.	muscle	Nctc1 imprinting	ChIP	23221643
NEAT1	MIRLET7A1	RNA-RNA	Binding	Homo sapiens	H19 acts as an up-stream regulator of let-7 in skeletal muscle cells, decreased H19 leads to increased bioavailability of let-7.	skeletal muscle cells	H19 depletion impairs insulin sensitivity of muscle cells	in vitro and in vivo	25399420
NEAT1	SMARCA2	RNA-Protein	Binding	Homo sapiens	a direct interaction between NEAT1 and these SWI/SNF subunits	NULL	NULL	UV cross-linking immunoprecipitation (IP)	25831520
NEAT1	SMARCA4	RNA-Protein	Binding	Homo sapiens	a direct interaction between NEAT1 and these SWI/SNF subunits	NULL	NULL	UV cross-linking immunoprecipitation (IP)	25831520
NEAT1	SRSF5	RNA-Protein	Binding	Homo sapiens	NEAT1 Associated with SRp40	adipose	NULL	RNA-IP	25437750
NEAT1	HNRNPD	RNA-Protein	Binding	Homo sapiens	we confirmed the interaction of AUF1 with NEAT1 and MALAT1 by RIP analysis and by in vitro binding assays	HeLa (human cervical carcinoma) cells	NULL	RIP	25366541
NEAT1	SFPQ	RNA-Protein	Binding	Homo sapiens	NEAT1 bound to SFPQ in vivo	HeLa cell	innate immune response by IL8 gene	RIP	24507715
NEAT1	SFPQ	RNA-Protein	Binding	Homo sapiens	SFPQ bound to NEAT1 after MG132 treatment 	HeLa cells	dictates paraspeckle size and shape	RIP	24173718
NEAT1	FUS	RNA-Protein	Binding	Homo sapiens	Both TDP-43 and FUS/TLS bind to NEAT1_2 lncRNA	NULL	NULL	CLIP	23835137
NEAT1	TARDBP	RNA-Protein	Binding	Homo sapiens	Both TDP-43 and FUS/TLS bind to NEAT1_2 lncRNA	NULL	NULL	CLIP	23835137
NEAT1	NONO	RNA-Protein	Binding	Homo sapiens	mammalian DBHS proteins associate with the architectural long noncoding RNA NEAT1 (Men	NULL	NULL	in viro	22416126
NEAT1	SFPQ	RNA-Protein	Binding	Homo sapiens	mammalian DBHS proteins associate with the architectural long noncoding RNA NEAT1 (Men	NULL	NULL	in viro	22416126
NEAT1	PSPC1	RNA-Protein	Binding	Homo sapiens	mammalian DBHS proteins associate with the architectural long noncoding RNA NEAT1 (Men	NULL	NULL	in viro	22416126
NEAT1	FUS	RNA-Protein	Binding	Homo sapiens	one of category 1B proteins (FUS) binds to both NEAT1_1 and NEAT1_2	NULL	NULL	knockdown;RNA immunoprecipitation	22081015
NEAT1	NONO	RNA-Protein	Binding	Homo sapiens	In interphase cells, p54nrb localizes to the nucleoplasm and concentrates with protein partners in the paraspeckles via an interaction with the non-coding RNA Neat1	NULL	NULL	RNA-IP	21819346
NEAT1	PSPC1	RNA-Protein	Binding	Homo sapiens	PSP1, an RNA-binding protein and a component of paraspeckles, also displayed a weak interaction with MALAT1 but at the same time showed a strong association with the paraspeckle-localized NEAT2	NULL	NULL	RNA-IP	20797886
NEAT1	NONO	RNA-Protein	Binding	Homo sapiens	hNEAT1 accumulation colocalizes very well with both p54nrb and PSP1	NULL	Knockdown of NEAT1 in HeLa cells results both inloss of paraspeckles and in enhanced nucleocytoplasmic export of mRNAs containing inverted Alu repeats.	RNA immunoprecipitation	19716791
NEAT1	PSPC1	RNA-Protein	Binding	Homo sapiens	hNEAT1 accumulation colocalizes very well with both p54nrb and PSP1	NULL	Knockdown of NEAT1 in HeLa cells results both inloss of paraspeckles and in enhanced nucleocytoplasmic export of mRNAs containing inverted Alu repeats.	RNA immunoprecipitation	19716791
NEAT1	NONO	RNA-Protein	Binding	Homo sapiens	NEAT1 RNA binds with paraspeckle proteins.	NULL	Depletion of NEAT1 RNA via RNAi eradicates paraspeckles, suggesting that it controls sequestration of the paraspeckle proteins PSP1 and p54, factors linked to A-I editing.NEAT1 overexpression increases paraspeckle number, and paraspeckles emanate exclusively from the NEAT1 transcription site.	nitrocellulose binding assays	19217333
NEAT1	PSPC1	RNA-Protein	Binding	Homo sapiens	NEAT1 RNA binds with paraspeckle proteins.	NULL	Knock-down of NEAT1 RNA leads to loss of Paraspeckles.	nitrocellulose binding assays	19217333
NEAT1	CARM1	DNA-Protein	Regulation	Homo sapiens	CARM1 binding to the promoter of the NEAT1 gene somehow down-regulates synthesis of the paraspeckle long noncoding RNA NEAT1, which reduces paraspeckle formation.	NULL	NULL	ISH, RIP and ChIP assays	25792598
NEAT1	POLR2A	DNA-Protein	Binding	Homo sapiens	RNAPII phospho-CTD-ser5 bound within the NEAT1 promoter	HeLa cells	dictates paraspeckle size and shape	ChIP	24173718
NEAT1	HIF1A	DNA-TF	Binding	Homo sapiens	although both HIF-1	MCF-7 breast cancer cells	accelerates tumor cell proliferation and inhibits apoptosis	ChIP-qPCR	25417700
NEAT1	HIF-2	DNA-TF	Binding	Homo sapiens	although both HIF-1	MCF-7 breast cancer cells	accelerates tumor cell proliferation and inhibits apoptosis	ChIP-qPCR	25417700
NEAT1	HIF-2	RNA-TF	Regulation	Homo sapiens	hypoxic induction of NEAT1 by HIF-2 leads to the formation of nuclear paraspeckles	MCF-7 breast cancer cells	accelerates tumor cell proliferation and inhibits apoptosis	RNA-fluorescentin situhybridization	25417700
